run,imp,exit_code,neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region
94,1,3,0.000417701112717188,0,0.00579298235261025,0.000417701112717188,0.001,0.1,0,37431.6701481179,True,sel_shape;sel_scale;sel_e,0,intergenic-enhancers
801,1,3,0.000406244172560776,0,0.0158587045678996,0.000406244172560776,0.00391451170603568,156.296270709159,0,35857.25874566,True,sel_e,1,intergenic-enhancers
126,1,3,0.000422121723548215,0,5.33554774056255e-05,0.000422121723548215,0.001,0.1,0.00326141282617663,37363.7836810265,True,sel_shape;sel_scale,2,intergenic-enhancers
132,1,3,0.000418569400533395,0,0.00239783271042065,0.000418569400533395,0.0243293364877248,37.5106556067112,0,38082.0335724528,True,sel_e,3,intergenic-enhancers
37,1,3,0.000442338938796085,0,0.0631907308244307,0.000442338938796085,1.19346413520127,0.1,0.0696856346292781,37605.9839968178,True,sel_scale,4,intergenic-enhancers
723,1,3,0.000456361516724194,0,0.0914095358615637,0.000456361516724194,0.001,0.1,0.0863216746496794,37137.6080040949,True,sel_shape;sel_scale;r_59,5,intergenic-enhancers
364,1,3,0.000428800004063583,0,0,0.000428800004063583,0.003406557913533,257.69599303242,0.00527973774372054,37780.6398750895,True,neu_e_1,6,intergenic-enhancers
628,1,3,0.000472881555447646,0,0.0794820489074697,0.000472881555447646,0.001,0.1,0.0791672782956726,38763.8113065615,True,sel_shape;sel_scale;r_59,7,intergenic-enhancers
498,1,3,0.000451696360134956,0,0.0793284461161036,0.000451696360134956,0.001,0.1,0.0812103123764283,37625.39523466,True,sel_shape;sel_scale,8,intergenic-enhancers
731,1,3,0.000468572226075675,0,0.113786897770748,0.000468572226075675,0.001,0.1,0.0843833347158372,37010.3118945996,True,sel_shape;sel_scale,9,intergenic-enhancers
126,1,3,0.000420827678612866,0,0,0.000420827678612866,0.001,0.1,0.0269067567153871,37372.9435278872,True,neu_e_1;sel_shape;sel_scale,10,intergenic-enhancers
