run,imp,exit_code,neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region
606,1,3,0.000448068257723461,0,0.0603957973004017,0.000448068257723461,0.0196921824349575,163.094993425732,0.061705810783266,7170149.73034614,True,,0,intron
970,1,3,0.000423878745551749,0,0.00322472551595793,0.000423878745551749,0.0178832325481735,182.504194402173,0.00774888441944796,7128439.47082302,True,,1,intron
893,1,3,0.000429818253414284,0,0.019605578941763,0.000429818253414284,0.0320555748003629,77.0206352405535,0.0273111196164161,7106396.20405928,True,,2,intron
702,1,3,0.000430952024640308,0,0.0273409533876556,0.000430952024640308,0.0251731318576286,104.941057153305,0.0258422634290352,6987489.17533111,True,,3,intron
818,1,3,0.000423681982776791,0,0.000660436997402341,0.000423681982776791,0.0197938162732503,167.21094245104,0.00463123384429714,7168478.87894715,True,,4,intron
917,1,3,0.000433497077427071,0,0.0187869228670537,0.000433497077427071,0.0190775019405854,277.034186798784,0.0214273513619249,7084755.27344852,True,,5,intron
160,1,3,0.000428458060229521,0,0.0204853585720923,0.000428458060229521,0.0162877747057505,347.50866189534,0.0185703066849505,7165005.92824813,True,,6,intron
482,1,3,0.000448740006700373,0,0.0663677958276672,0.000448740006700373,0.0190395865437836,116.168487788618,0.0619553421050549,7078715.11784636,True,,7,intron
945,1,3,0.000436222942619271,0,0.0352289485095017,0.000436222942619271,0.0265966633200158,76.9650153228159,0.0385251050650967,7175064.55256147,True,,8,intron
250,1,3,0.000450874915578289,0,0.075894024222487,0.000450874915578289,0.0341737422245431,37.6554416079601,0.0738224751398872,7204279.10058887,True,,9,intron
755,1,3,0.000431171344048153,0,0.0336526421421426,0.000431171344048153,0.00307861992580767,4130.56120575732,0.0376753912984537,7213517.96927048,True,,10,intron
654,1,3,0.000450475365704222,0,0.066103540913045,0.000450475365704222,0.0236148138633603,75.856671157451,0.0684323863483821,7106862.59773421,True,,11,intron
468,1,3,0.000450675983650185,0,0.0655264182025981,0.000450675983650185,0.0393029436480057,21.3131577584164,0.0721556141290828,7165011.35087415,True,,12,intron
177,1,3,0.000452216702590024,0,0.0764027851708023,0.000452216702590024,0.0184956867583929,285.284116273411,0.0714129274682478,7200160.96101021,True,,13,intron
858,1,3,0.000426641822759904,0,0.0235083544791846,0.000426641822759904,0.0212015564069142,112.463971080327,0.0255968185176681,7146361.0616735,True,,14,intron
340,1,3,0.000435930785221927,0,0.0392486066963386,0.000435930785221927,0.0238283052498337,55.176067020429,0.0413216290239472,7117687.90693702,True,,15,intron
391,1,3,0.000438050646226212,0,0.0349733318632164,0.000438050646226212,0.0154537751190369,210.864475128561,0.0359172433135562,7187616.53056599,True,,16,intron
240,1,3,0.000435088650122067,0,0.0296251583063417,0.000435088650122067,0.0137298079472968,328.232414188588,0.0302451590346201,7120166.48310464,True,,17,intron
461,1,3,0.000457169004253461,0,0.0749281454894015,0.000457169004253461,0.0225539116725894,128.194392800422,0.0757445804032113,7138015.87748663,True,r_59,18,intron
646,1,3,0.00042646296164221,0,0.0104108726966473,0.00042646296164221,0.0202672951583542,206.55119476538,0.0134106164035383,7325666.90233097,True,,19,intron
589,1,3,0.000432377508005287,0,0.0251600471457003,0.000432377508005287,0.0169200350097726,124.571010081901,0.0309683075379258,7213430.69031036,True,,20,intron
70,1,3,0.000428892828648289,0,0.0202622530355851,0.000428892828648289,0.0152813857518186,255.655820223397,0.0242875096496721,6915047.95372254,True,,21,intron
931,1,3,0.000452952839369992,0,0.0706391526906347,0.000452952839369992,0.0165345602763884,343.35660541354,0.0708551931566159,7154014.50665722,True,,22,intron
400,1,3,0.000425118653194884,0,0.0117210655149166,0.000425118653194884,0.0189549762425099,182.770158846417,0.0155807119360704,7098133.84328857,True,,23,intron
430,1,3,0.00042969956538646,0,0.0178019746693521,0.00042969956538646,0.0237530227766706,114.406033234881,0.0249692412024709,7108573.7110445,True,,24,intron
537,1,3,0.000458369852869092,0,0.0714215374647495,0.000458369852869092,0.0169998765714318,260.089065109955,0.0729344301960345,7244123.74668954,True,,25,intron
399,1,3,0.000453808932169084,0,0.0748124723714746,0.000453808932169084,0.0225973507308787,66.8687873884697,0.0741333948267964,7145615.76066756,True,,26,intron
803,1,3,0.000457506858228816,0,0.0771669114215283,0.000457506858228816,0.0327299163701656,62.5441990153485,0.0751923085699637,7121951.03654269,True,,27,intron
601,1,3,0.000448733013762154,0,0.054384638112763,0.000448733013762154,0.0120323165709114,934.116105008366,0.0614388239691826,7228068.956924,True,,28,intron
50,1,3,0.000421568886951453,0,0,0.000421568886951453,0.0140184599190768,307.040343129062,0.00185343894486635,7006633.5746862,True,neu_e_1,29,intron
901,1,3,0.000434925204131903,0,0.0168297115437528,0.000434925204131903,0.0202302266895909,251.772347809889,0.0193543038422137,7276685.45294563,True,,30,intron
992,1,3,0.000448412352071533,0,0.0697626528335179,0.000448412352071533,0.0408356496316706,28.819767079492,0.0693467662978234,7242789.83570538,True,,31,intron
637,1,3,0.000425356909033049,0,0.00526733919008879,0.000425356909033049,0.0164933534985866,257.508054609516,0.0165033803394745,7139412.59491555,True,,32,intron
601,1,3,0.000440920065125828,0,0.0599638860785197,0.000440920065125828,0.0468292063417998,12.441424858222,0.0657766154529982,7197860.02768489,True,,33,intron
884,1,3,0.000422878929299334,0,0.00256254443621643,0.000422878929299334,0.0176456547247631,267.856963530181,0.0052077451716701,7075040.69431269,True,,34,intron
610,1,3,0.000458911776597585,0,0.0759383540270891,0.000458911776597585,0.0175687876776439,330.518689904147,0.0726314915543145,7109448.86345326,True,,35,intron
658,1,3,0.000451272273863504,0,0.0600981848282095,0.000451272273863504,0.0205537919736959,140.952394257419,0.0668629026336729,7117656.54833509,True,,36,intron
609,1,3,0.000444823062520332,0,0.0339077639022693,0.000444823062520332,0.0144057220941453,591.186660133917,0.0420635376144804,7247107.15606967,True,,37,intron
267,1,3,0.000423157626938603,0,0.00913474318535864,0.000423157626938603,0.0131327921161459,232.233411332643,0.0139969498175786,7028241.21178988,True,,38,intron
867,1,3,0.000441990967399892,0,0.0616398203772146,0.000441990967399892,0.0334345344498673,19.9116417501984,0.0628559278874971,7098304.6721508,True,,39,intron
315,1,3,0.000424677877470947,0,0.0163610905619231,0.000424677877470947,0.00392716184792448,2496.26524075428,0.0227790531765668,7100779.81525381,True,,40,intron
256,1,3,0.000439278396544623,0,0.0445642770229622,0.000439278396544623,0.0188514637337695,106.014281387019,0.0458014741538709,7273773.9357344,True,,41,intron
126,1,3,0.000428869504089366,0,0.0176016966523331,0.000428869504089366,0.0140823354395518,169.907678598407,0.0296150610103403,6962631.26951367,True,,42,intron
312,1,3,0.00043783411580783,0,0.0447876852341651,0.00043783411580783,0.0128948467054707,226.763994770953,0.0434160580733608,7207707.63328982,True,,43,intron
940,1,3,0.000452444874105443,0,0.0655606173164145,0.000452444874105443,0.0304021669802001,75.3027318421221,0.0741725861088842,7089838.92488942,True,,44,intron
692,1,3,0.000424348338700177,0,0.00119080098898719,0.000424348338700177,0.0260283001129366,128.397775020183,0.0118311851414075,7130024.61954736,True,,45,intron
763,1,3,0.00042442994442908,0,0.0109132969180709,0.00042442994442908,0.0177870834330632,295.379081830968,0.00571763950120572,7150323.61380222,True,,46,intron
770,1,3,0.000430495440045364,0,0.0144725169651277,0.000430495440045364,0.00977584188394035,1111.12961723752,0.021525652266029,7040709.65873286,True,,47,intron
191,1,3,0.000428097234246237,0,0.0324183661705188,0.000428097234246237,0.0145785063962018,202.784178485268,0.0264309150542525,7269187.08045421,True,,48,intron
856,1,3,0.000424763535744019,0,0.0238567676961378,0.000424763535744019,0.0108785639057017,245.730486617508,0.0210527938375539,7140910.63908157,True,,49,intron
277,1,3,0.000430678820074931,0,0.00437846964195191,0.000430678820074931,0.0241669045119148,174.727437039578,0.0144317358422539,7205125.91766391,True,,50,intron
558,1,3,0.000441993518562971,0,0.0458922951244357,0.000441993518562971,0.0203866479799257,78.9342356656111,0.0473034383289815,7173081.14196234,True,,51,intron
452,1,3,0.00045070245936443,0,0.071695693727134,0.00045070245936443,0.0185263531307577,244.371071836117,0.0662967909114215,7295979.92410867,True,,52,intron
1,1,3,0.000446822746395995,0,0.0573108288959567,0.000446822746395995,0.0446088524544773,21.5926874556389,0.064554812808352,7207996.06573319,True,,53,intron
945,1,3,0.000426862656311668,0,0.0189869616325684,0.000426862656311668,0.0136798456290756,406.353960799089,0.0207936782598897,7156255.85142545,True,,54,intron
877,1,3,0.000433700012641222,0,0.0374475394991488,0.000433700012641222,0.032860331324944,24.7807741040971,0.0400715058669242,7203475.23648728,True,,55,intron
340,1,3,0.000429339292405673,0,0.0288246779573893,0.000429339292405673,0.0237259317213632,86.2436711125389,0.0261012578239314,7095929.0889149,True,,56,intron
80,1,3,0.000457819240084222,0,0.0816713221597819,0.000457819240084222,0.0229411211837288,73.2965877827639,0.0777436255195706,7144066.42103657,True,,57,intron
534,1,3,0.000423195862245798,0,0.000493215983583277,0.000423195862245798,0.0214100303687969,144.382075978232,0.00832725600780375,7108624.90589333,True,,58,intron
959,1,3,0.00043983875800318,0,0.0394935129950111,0.00043983875800318,0.00984496303705559,941.176367600573,0.0427786739423252,7298420.82119918,True,,59,intron
992,1,3,0.000441823816655577,0,0.044814852451908,0.000441823816655577,0.0126992000910654,571.437164254621,0.0470387078352492,7113660.64165206,True,,60,intron
525,1,3,0.000429995143725974,0,0.0303821874689349,0.000429995143725974,0.0104458212177403,229.849636245192,0.030129117884648,7203253.85777019,True,,61,intron
154,1,3,0.000454044017711343,0,0.0724769891100755,0.000454044017711343,0.013403798012506,303.306629325429,0.0771527311694161,7179589.85868734,True,,62,intron
47,1,3,0.000422588811428564,0,0.00211364495503389,0.000422588811428564,0.0164175888457148,190.60742695915,0.00769123383497562,7142850.73185381,False,,63,intron
289,1,3,0.000429364290174704,0,0.00277468519848391,0.000429364290174704,0.0201313620653801,237.419542366392,0.0118675704168371,7050434.42531367,True,,64,intron
259,1,3,0.000423293952864596,0,0.00190986958421273,0.000423293952864596,0.014376721973856,334.567234548839,0.00837217720885698,7186663.62965776,False,,65,intron
287,1,3,0.000446602152662916,0,0.0586297399025966,0.000446602152662916,0.0431540429569943,24.1495392148095,0.0637585555877945,7056286.80396684,True,,66,intron
815,1,3,0.000442866942372651,0,0.0452876114521565,0.000442866942372651,0.018520021905673,242.136666479758,0.0507484075458284,7179287.57456976,True,,67,intron
195,1,3,0.000452586830680737,0,0.0741561071404105,0.000452586830680737,0.017264377589522,203.09460429018,0.0711886465953831,7168371.8210651,True,,68,intron
629,1,3,0.000432409429635618,0,0.02116933209004,0.000432409429635618,0.0131407517368148,381.488358787205,0.0246414632995988,7110377.75537098,True,,69,intron
251,1,3,0.000454657304907353,0,0.0850406425811969,0.000454657304907353,0.0301812693072999,98.3994914075268,0.0776277453585239,7237061.16155638,True,,70,intron
600,1,3,0.00043677116669244,0,0.0179717181518623,0.00043677116669244,0.0137669605863896,588.742556640224,0.0272041287710893,7208030.78088735,True,,71,intron
770,1,3,0.00043094314673036,0,0.00559495987205883,0.00043094314673036,0.00774432331298518,2174.4898521206,0.0217310483674832,7138239.05164027,True,,72,intron
72,1,3,0.000428485650439994,0,0.00170260704147646,0.000428485650439994,0.0217884110173204,254.37126110453,0.0102166530924314,7086258.56325354,True,,73,intron
676,1,3,0.000434332587364358,0,0.0390020494500555,0.000434332587364358,0.0235962910381111,73.8684772909554,0.0436656435601863,7317274.01447688,True,,74,intron
72,1,3,0.000429839326673688,0,0.0151301686182872,0.000429839326673688,0.021170145846577,124.055707972097,0.0246344845641691,7163603.51680391,True,,75,intron
93,1,3,0.000425610387914225,0,0,0.000425610387914225,0.0186228812420411,324.965259588274,0.00348286123245415,7173319.42056071,True,neu_e_1,76,intron
6,1,3,0.000455756903597341,0,0.0804149799165581,0.000455756903597341,0.00511860574236369,2137.53131394043,0.0786180355155251,7201285.31701282,True,,77,intron
289,1,3,0.000426155804845127,0,0.00925666258313302,0.000426155804845127,0.023608066688087,124.176637144566,0.0144574053548009,7158361.02263266,True,,78,intron
289,1,3,0.0004299044922568,0,0.00469087918458455,0.0004299044922568,0.017207864171457,253.873118623855,0.0134543840497915,7215460.16657385,True,,79,intron
358,1,3,0.000457390037963706,0,0.0691181818443796,0.000457390037963706,0.0108689498636216,1032.20723202927,0.0773704668652982,7362398.55092548,True,,80,intron
908,1,3,0.000451694564662442,0,0.0759337400407472,0.000451694564662442,0.0325591597592992,30.6541029935971,0.0727696985217877,7255435.57683244,True,,81,intron
113,1,3,0.000437818732635506,0,0.0383806657904702,0.000437818732635506,0.0190107760221389,220.923048594558,0.0398693852984999,7049787.77614585,True,,82,intron
384,1,3,0.000427544112321374,0,0.00473722218939529,0.000427544112321374,0.0198051932495271,299.030827791774,0.00815463487619964,7171352.54942961,True,,83,intron
693,1,3,0.000443741510673065,0,0.0499300780930206,0.000443741510673065,0.0105049236643513,700.516806939867,0.0494058389458571,7131107.27079353,True,,84,intron
428,1,3,0.000456628114385287,0,0.0667107795940259,0.000456628114385287,0.0146184087354442,551.389334581842,0.0745320162796148,7175317.22966147,True,,85,intron
215,1,3,0.000455513001554894,0,0.0759530568775818,0.000455513001554894,0.0162590975755972,198.444461147558,0.0755280077208719,7275088.86774413,True,,86,intron
280,1,3,0.000457553848937662,0,0.074787476287943,0.000457553848937662,0.0134300145517247,383.708993719017,0.0742728017109821,7175113.24163905,True,,87,intron
320,1,3,0.00043097489325464,0,0.0157866894665557,0.00043097489325464,0.0193646927555072,171.523309309461,0.0239838355178049,7126735.54925176,True,,88,intron
25,1,3,0.000427200344359444,0,0.00379640406997039,0.000427200344359444,0.0203431239638864,213.130498370285,0.014353112281713,7262771.77241713,True,,89,intron
755,1,3,0.000452341201154347,0,0.0715608543305753,0.000452341201154347,0.0107571257773743,609.959094386586,0.074082606664493,7125903.65785986,True,,90,intron
602,1,3,0.000425271700462248,0,0.00439896175309678,0.000425271700462248,0.0223196220303152,236.131925339202,0.0117921449483272,7172574.29807308,True,,91,intron
173,1,3,0.000446602022652247,0,0.054964101251544,0.000446602022652247,0.00810516183640489,884.486181027411,0.0572698809754193,7232121.96372548,True,,92,intron
99,1,3,0.000439974019366545,0,0.0412073260459,0.000439974019366545,0.0428951348833276,36.8543115286573,0.0407768598243514,7258894.51712244,True,,93,intron
999,1,3,0.000431983494669877,0,0.0326473375106404,0.000431983494669877,0.0222807054056649,88.8528123439741,0.037609758366507,7259335.53790898,True,,94,intron
465,1,3,0.000455752359073595,0,0.0729771360347946,0.000455752359073595,0.0136172248405986,474.460533645035,0.0729056403032827,7368913.22737161,True,,95,intron
125,1,3,0.000460386206893187,0,0.0736597003269813,0.000460386206893187,0.0142627466543213,783.249700213088,0.0757524106694612,7226068.088727,True,,96,intron
853,1,3,0.000435493903760977,0,0.0326444316645921,0.000435493903760977,0.0157956872027247,172.272505790297,0.0333520082594324,7081867.66654374,True,,97,intron
222,1,3,0.00042331063568425,0,0.0156903041425415,0.00042331063568425,0.016229689359842,198.030910654872,0.0153441236672563,7288970.82212622,True,,98,intron
771,1,3,0.000424003183716305,0,0,0.000424003183716305,0.0171916646821477,252.274854228545,0.000674398538059215,7098669.78810173,True,neu_e_1,99,intron
585,1,3,0.000437500014942372,0,0.0283855651163608,0.000437500014942372,0.0217969218934558,126.889168453017,0.0286000368099166,7353464.78636291,True,,100,intron
