run,imp,exit_code,neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region
395,1,3,0.000485803069167272,0,0.0756413596880434,0.000485803069167272,0.100461389841615,5.60262723760022,0.0680999981789754,536750.607792188,True,r_59,0,utr
26,1,3,0.000488019003294265,0,0.0773888703524532,0.000488019003294265,0.071164815296451,9.85657624493018,0.0692315783117209,533039.565691546,True,r_59,1,utr
266,1,3,0.000483072076126256,0,0.0803638660501109,0.000483072076126256,0.0904140760794857,7.11210047021335,0.0680789857742909,540074.919155668,True,r_59,2,utr
852,1,3,0.000483060763187637,0,0.0769349248099882,0.000483060763187637,0.104833586822353,5.71470560666831,0.0700934441037839,540680.260878012,True,r_59,3,utr
805,1,3,0.000485379612077097,0,0.0768808453562701,0.000485379612077097,3.48542837798383,0.1,0.0696462625825395,536597.067159476,True,sel_scale;r_59,4,utr
259,1,3,0.000480775105543749,0,0.0768018637565585,0.000480775105543749,0.0580049846641658,10.0133632373883,0.067763422649288,536151.557792756,True,r_59,5,utr
21,1,3,0.000485255013950405,0,0.070699597890404,0.000485255013950405,0.108214300196818,5.31175011145656,0.0688704927504488,532495.158107742,True,r_59,6,utr
350,1,3,0.000483168381244829,0,0.076542450230414,0.000483168381244829,0.493457235181445,0.688561737515453,0.0662917648597432,534891.764146942,True,r_59,7,utr
862,1,3,0.000489094311980321,0,0.0722830109421307,0.000489094311980321,1.63685760964389,0.261992651733228,0.0666251127317972,539791.087363291,True,r_59,8,utr
680,1,3,0.000484109335539313,0,0.0731073553461609,0.000484109335539313,0.434043614240205,1.1048367740944,0.0732662955018539,547046.099661214,True,r_59,9,utr
266,1,3,0.000489748780990229,0,0.0775171360580209,0.000489748780990229,0.112047718172646,5.81972326260584,0.0646600609569066,539205.664405905,True,r_59,10,utr
480,1,3,0.000479580023796414,0,0.0778297290048853,0.000479580023796414,0.104637987214345,4.95510896201931,0.0661265573325268,538060.129963469,True,r_59,11,utr
890,1,3,0.000490136368283621,0,0.0747459911103172,0.000490136368283621,0.228647848886021,1.29552709292653,0.0668792338291719,541499.441808011,True,r_59,12,utr
751,1,3,0.000493039778221394,0,0.0767209173251793,0.000493039778221394,0.0628914303223383,13.2879395162931,0.0708050042149081,537897.15908117,True,r_59,13,utr
276,1,3,0.000487890331421609,0,0.0764091563329599,0.000487890331421609,0.0673465612611117,11.5315020745036,0.0686467948801615,536229.879822377,True,r_59,14,utr
328,1,3,0.000485768418398632,0,0.0761120462606422,0.000485768418398632,0.0596540007981719,13.7150840415048,0.0692891294159459,543133.2492558,True,r_59,15,utr
261,1,3,0.000484078617284834,0,0.0811230525633445,0.000484078617284834,0.0987851642444558,6.12042194998277,0.0702022660613912,532475.437374573,True,r_59,16,utr
945,1,3,0.000490561704552059,0,0.0769276764451607,0.000490561704552059,0.14924552480862,3.40847880799546,0.0678246107356598,531568.970287399,True,r_59,17,utr
996,1,3,0.000488013152374929,0,0.07418514601779,0.000488013152374929,0.0618263256221089,9.137162442095,0.0642325127255728,532256.855853189,True,r_59,18,utr
945,1,3,0.000480345988570057,0,0.0769406230046529,0.000480345988570057,0.0738807384403918,7.48827992263395,0.0674103056578485,532755.093622459,True,r_59,19,utr
191,1,3,0.000485070256047757,0,0.0790552847875254,0.000485070256047757,0.141210225895767,3.65044113248021,0.0635473286508946,532613.270704416,True,r_59,20,utr
170,1,3,0.000479273930073792,0,0.0765023566723471,0.000479273930073792,0.0816463084626518,6.43494430412244,0.0679565357130108,531017.23284389,True,r_59,21,utr
226,1,3,0.000486633445485502,0,0.078905856447125,0.000486633445485502,0.102673215860564,9.52036431594816,0.067790894511773,536516.826511126,True,r_59,22,utr
858,1,3,0.000488673535001244,0,0.0780917897829283,0.000488673535001244,0.0810359986098871,9.14922697644313,0.065920969152596,534808.323526202,True,r_59,23,utr
224,1,3,0.000489476546872932,0,0.0721606831535118,0.000489476546872932,0.0619337172428758,13.9955655542836,0.0688591394266098,532362.879314068,True,r_59,24,utr
774,1,3,0.000483239076777954,0,0.081644516669804,0.000483239076777954,0.0829908074950852,7.22483435101302,0.0716735707708284,540772.800964456,True,r_59,25,utr
667,1,3,0.000483097667251168,0,0.0764794743294424,0.000483097667251168,0.06800775493508,8.33237877784916,0.0696509064799368,529645.488805397,True,r_59,26,utr
642,1,3,0.000483424322735153,0,0.0832057461053322,0.000483424322735153,0.0984794143023733,4.43924047150077,0.0684796265437596,543190.414018361,True,r_59,27,utr
24,1,3,0.000491357605507776,0,0.0781118695084604,0.000491357605507776,0.0684710914418699,14.4040880215803,0.0688866399413278,540099.943189409,True,r_59,28,utr
582,1,3,0.000486339442305884,0,0.0741753322149164,0.000486339442305884,0.102819350126297,4.99495115870276,0.0652572518955087,524265.019209098,True,r_59,29,utr
251,1,3,0.000487743994788904,0,0.0673484982091402,0.000487743994788904,0.0850074887509035,6.33755843187269,0.0651708489573809,541126.976592475,True,r_59,30,utr
354,1,3,0.000480099214806751,0,0.0770826177187716,0.000480099214806751,0.0578612640000824,9.76643844024232,0.0661355414778538,530604.289458117,True,r_59,31,utr
731,1,3,0.00048527456062963,0,0.0793089761765376,0.00048527456062963,0.184023096028172,2.46991083413358,0.0703744336384147,538200.483938126,True,r_59,32,utr
244,1,3,0.00048245909623319,0,0.079268265969946,0.00048245909623319,0.0620812537322743,19.1781948046301,0.069004626758597,539552.677161427,True,r_59,33,utr
893,1,3,0.000491366740753582,0,0.0798817073926986,0.000491366740753582,0.0817258454140282,6.37426347357159,0.0663207239280117,543986.150425822,True,r_59,34,utr
818,1,3,0.00048417733151029,0,0.0755834664478848,0.00048417733151029,0.4440772175403,1.07866421472918,0.0664248474808255,525702.733674781,True,r_59,35,utr
179,1,3,0.000474708242830273,0,0.0789596298185363,0.000474708242830273,0.0873068810050727,4.96171724998069,0.0696207948504482,530740.149021858,True,r_59,36,utr
950,1,3,0.00048388554161559,0,0.0777030822252447,0.00048388554161559,0.118327496846304,5.37677088919899,0.0740485296815336,541504.74244315,True,r_59,37,utr
366,1,3,0.000492704261465298,0,0.0754552098454448,0.000492704261465298,0.119203730072303,5.61013161198994,0.06788513112125,541417.423071929,True,r_59,38,utr
421,1,3,0.0004853364041783,0,0.0850074656869156,0.0004853364041783,0.0846018036586813,5.29062129750008,0.0662563244197149,536901.364395066,True,r_59,39,utr
26,1,3,0.000497024469160169,0,0.078898926131504,0.000497024469160169,0.0877295757125306,7.75207964230419,0.0710299564976581,549903.191191392,True,r_59,40,utr
326,1,3,0.000485506586024361,0,0.0769471814787355,0.000485506586024361,0.3991548739157,0.643176527063102,0.0671116403412784,542169.123594243,True,r_59,41,utr
89,1,3,0.000482526221137688,0,0.0709955240144324,0.000482526221137688,0.161882831643869,3.44584493070901,0.0707029536887198,538045.967065412,True,r_59,42,utr
337,1,3,0.000485309115641415,0,0.068903175387772,0.000485309115641415,0.0606402458780323,16.0741315159633,0.0701361808852181,543966.605119032,True,r_59,43,utr
125,1,3,0.000489355768667608,0,0.0720827989242693,0.000489355768667608,0.129745406151127,4.13950685085838,0.0706748291240575,532843.473074083,True,r_59,44,utr
552,1,3,0.000488656192335959,0,0.0789454760760782,0.000488656192335959,0.048878199496831,17.4237881816277,0.0676677711995155,535202.923975214,True,r_59,45,utr
690,1,3,0.000482942197031998,0,0.0727218494187744,0.000482942197031998,0.193183253429423,2.40327633645513,0.0689594913365531,532841.10849256,True,r_59,46,utr
52,1,3,0.00048462619086972,0,0.0776205174220626,0.00048462619086972,0.0723927138236675,10.7636075874193,0.0677681154884521,538464.5586674,True,r_59,47,utr
170,1,3,0.000489263697723581,0,0.0743952417011648,0.000489263697723581,0.0933509057666617,7.37651631742124,0.0693555285707027,538744.197319788,True,r_59,48,utr
661,1,3,0.000488892518533727,0,0.0755846225480676,0.000488892518533727,0.140378397044484,3.74781288971586,0.0691789554687001,535718.747140885,True,r_59,49,utr
128,1,3,0.000488391880851258,0,0.0702525783727915,0.000488391880851258,0.121110339120966,4.4253251068857,0.0679113765764786,536871.651458089,True,r_59,50,utr
719,1,3,0.000484430475977533,0,0.0721714955781332,0.000484430475977533,0.304963986400161,1.46046423225332,0.0659585633487095,529548.462164917,True,r_59,51,utr
992,1,3,0.000489278373174778,0,0.0767518646756352,0.000489278373174778,0.094367456738552,7.18229516264246,0.0707920025343918,538786.494593972,True,r_59,52,utr
305,1,3,0.000482793178670443,0,0.0765663726903379,0.000482793178670443,0.175919271823523,2.76042519673231,0.0702101547956182,534229.426153039,True,r_59,53,utr
74,1,3,0.000480994807088893,0,0.0751976777222254,0.000480994807088893,0.0590704397466791,10.1929944655252,0.0675770722325345,539224.780143852,True,r_59,54,utr
290,1,3,0.000489319747753986,0,0.0773013722843669,0.000489319747753986,0.0564915536519501,21.1870983115247,0.0719398613795754,541594.657563717,True,r_59,55,utr
872,1,3,0.000482490888481941,0,0.0745612468009689,0.000482490888481941,0.0566908385549858,9.81755363316066,0.0669151573693987,538450.099501605,True,r_59,56,utr
305,1,3,0.000488031476684656,0,0.0822183297656866,0.000488031476684656,0.0620545722693489,10.9726324904859,0.0675804225667167,534649.709451344,True,r_59,57,utr
109,1,3,0.0004799080719179,0,0.0773617574716401,0.0004799080719179,0.112687637045093,3.01154711282791,0.0657239395012783,534819.255055969,True,r_59,58,utr
630,1,3,0.000493944043869297,0,0.0757822435326293,0.000493944043869297,0.0677262080171233,8.65364353063149,0.0665318647216422,542858.10612255,True,r_59,59,utr
204,1,3,0.000480161712509362,0,0.0776373124977185,0.000480161712509362,0.10790602984289,4.56926324502508,0.0676186809456868,533205.304606713,True,r_59,60,utr
829,1,3,0.000483808868636903,0,0.0781765197184161,0.000483808868636903,0.133120664016829,3.02647033393738,0.066587020634182,535784.428344712,True,r_59,61,utr
424,1,3,0.000486653631748088,0,0.072143287532186,0.000486653631748088,0.047694616090109,9.67348832705157,0.0673339950461577,537557.619604407,True,r_59,62,utr
27,1,3,0.000489239823256671,0,0.0689202136859961,0.000489239823256671,0.134704982852245,4.98806620795778,0.0681007732709146,535600.918094727,True,r_59,63,utr
173,1,3,0.00048631277205669,0,0.0823868710933763,0.00048631277205669,0.122272062601759,7.10723675497652,0.0689899179736704,534990.322041822,True,r_59,64,utr
244,1,3,0.000484550969065937,0,0.0715283848875479,0.000484550969065937,0.0901223768785313,4.96273115563551,0.0694603341274454,530489.65538608,True,r_59,65,utr
455,1,3,0.000479759913757268,0,0.0850253236492421,0.000479759913757268,0.0842127927741058,9.07029840383661,0.0738636185169598,532793.281316532,True,r_59,66,utr
360,1,3,0.000483483972233494,0,0.079563148067334,0.000483483972233494,0.195097882608771,2.0351698083661,0.0677780046172789,530318.392791049,True,r_59,67,utr
799,1,3,0.000475335384366017,0,0.0777718573065112,0.000475335384366017,0.0297753939263613,24.0656859200348,0.0667573751594655,535140.929292044,True,r_59,68,utr
741,1,3,0.000491706145545972,0,0.073083458373499,0.000491706145545972,0.157338998215151,3.30014664100732,0.0678570083995046,539714.33217557,True,r_59,69,utr
137,1,3,0.000489485413267649,0,0.0773128673437854,0.000489485413267649,0.0597294546681931,13.975850522445,0.0702231246895404,541419.30701401,True,r_59,70,utr
28,1,3,0.000491662567186282,0,0.080285261140095,0.000491662567186282,0.130471578591199,4.27256943739483,0.0706994965696843,534621.420588724,True,r_59,71,utr
