run,imp,exit_code,neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region
873,1,3,0.000380912186838909,0,0,0.000380912186838909,0.346102277790265,212.379318052885,0.0313815643664329,209939.420305026,True,neu_e_1,0,0fold
655,1,3,0.000382958064003521,0,1.48769885299771e-15,0.000382958064003521,0.350840128326966,209.501690946708,0.0327367861033365,210754.866512145,True,,1,0fold
613,1,3,0.000376130264277306,0,1.96953564568503e-15,0.000376130264277306,0.33920375862432,214.489096019191,0.0316967121700633,208382.594972995,True,,2,0fold
52,1,3,0.000378981196153124,0,5.89750470680883e-15,0.000378981196153124,0.346806205394671,205.242474773979,0.0303820205420376,210856.228140877,True,,3,0fold
516,1,3,0.000371394638734179,0,1.35225164399344e-15,0.000371394638734179,0.339613210683608,212.633140518409,0.0295053758697499,203999.15104663,True,,4,0fold
595,1,3,0.000379467597150754,0,0,0.000379467597150754,0.353574028829198,198.534474766129,0.0314956128102607,212723.463766307,True,neu_e_1,5,0fold
203,1,3,0.000377285520401859,0,6.4170890823334e-15,0.000377285520401859,0.34107146724568,219.06473251594,0.0312919274891458,208883.24128776,True,,6,0fold
788,1,3,0.000384792133686882,0,7.37188088351104e-16,0.000384792133686882,0.345070328386545,219.60071863402,0.0339205687901994,207959.556451281,True,,7,0fold
401,1,3,0.000372540715761923,0,0,0.000372540715761923,0.352082658573916,210.440358491895,0.0368938967026864,211315.803720554,True,neu_e_1,8,0fold
240,1,3,0.000376854653738101,0,4.21884749357559e-17,0.000376854653738101,0.34735332246512,209.571071419623,0.0339324150462095,208853.0669558,True,,9,0fold
490,1,3,0.000384622899093452,0,0,0.000384622899093452,0.355374387297538,206.943964881911,0.0289561224207962,211187.68205493,True,neu_e_1,10,0fold
799,1,3,0.000386193598232893,0,0,0.000386193598232893,0.346473877221748,213.895075155957,0.0351160111889703,211412.953967704,True,neu_e_1,11,0fold
561,1,3,0.00038140625977246,0,0,0.00038140625977246,0.344241381224012,211.683754250286,0.0278383667570197,208837.111751375,True,neu_e_1,12,0fold
904,1,3,0.000381590209400433,0,1.02340358409947e-14,0.000381590209400433,0.343600469372467,219.054564495364,0.0341699680186126,211252.835339731,True,,13,0fold
782,1,3,0.000382883318739353,0,9.86100090472064e-15,0.000382883318739353,0.334073402274547,224.18186369874,0.0327300680998205,210496.598177795,True,,14,0fold
556,1,3,0.000392348052714642,0,0,0.000392348052714642,0.342419930816012,212.386280573192,0.0317110817124143,213239.882424733,True,neu_e_1,15,0fold
509,1,3,0.000384294459706632,0,0,0.000384294459706632,0.348700303240584,211.302032035934,0.0351073993630676,209527.978103451,True,neu_e_1,16,0fold
688,1,3,0.00037406427861018,0,0,0.00037406427861018,0.345609621547619,214.781109599297,0.0272410275150166,206459.790102021,True,neu_e_1,17,0fold
255,1,3,0.000386916864440054,0,0,0.000386916864440054,0.352987083631607,214.168340760242,0.0319570992189565,211353.926199962,True,neu_e_1,18,0fold
426,1,3,0.000391569397827569,0,0,0.000391569397827569,0.349444391505881,207.578472043123,0.0342897040956852,213265.247498705,True,neu_e_1,19,0fold
167,1,3,0.000374655253893392,0,0,0.000374655253893392,0.341091801674933,213.079988457943,0.0299775296730889,208080.880966953,True,neu_e_1,20,0fold
394,1,3,0.00038385504610929,0,3.13971071363994e-15,0.00038385504610929,0.345822029385119,216.26542963013,0.0292920916332328,209353.79967066,True,,21,0fold
215,1,3,0.000387934196421049,0,0,0.000387934196421049,0.346584651836059,212.058680500033,0.0276825196293651,210450.396488526,True,neu_e_1,22,0fold
822,1,3,0.000379584989883422,0,0,0.000379584989883422,0.342713585931077,213.187792627201,0.0261530053213292,205480.064249892,True,neu_e_1,23,0fold
595,1,3,0.000376643236152253,0,8.73745520379998e-15,0.000376643236152253,0.345722622392362,212.742383419833,0.0314617703093769,207533.807128893,True,,24,0fold
768,1,3,0.000380228433848682,0,1.4166445794217e-15,0.000380228433848682,0.347308777924151,221.384419209303,0.0306164662515637,209515.309912662,True,,25,0fold
71,1,3,0.000382405293004873,0,6.66133814775094e-18,0.000382405293004873,0.338209839795877,220.452447686925,0.0293405099118871,209908.708087866,True,,26,0fold
634,1,3,0.000384845423800978,0,0,0.000384845423800978,0.350365366404225,208.224124575767,0.0307666094033279,205896.235034698,True,neu_e_1,27,0fold
103,1,3,0.000390688124890343,0,0,0.000390688124890343,0.350190910519479,212.841816462888,0.0341837740933071,211519.550634714,True,neu_e_1,28,0fold
681,1,3,0.000385651333180196,0,7.97140131680862e-16,0.000385651333180196,0.344432923100372,217.50241376317,0.0297475469088454,207175.76167766,True,,29,0fold
414,1,3,0.000376675255803106,0,1.58539847916472e-15,0.000376675255803106,0.339974709612111,227.495331760601,0.0305528931897029,208738.212786636,True,,30,0fold
239,1,3,0.000374235921542984,0,0,0.000374235921542984,0.345733378376856,207.889780163376,0.031842975202126,212337.990433175,True,neu_e_1,31,0fold
569,1,3,0.00037834188608869,0,2.66453525910038e-17,0.00037834188608869,0.340755620940376,212.18356784519,0.0262917121874485,207785.614218244,True,,32,0fold
817,1,3,0.000376023737448935,0,7.93143328792212e-15,0.000376023737448935,0.347359806618325,209.350189002248,0.0303068187207045,209860.714311149,True,,33,0fold
217,1,3,0.000383763608404113,0,4.10560474506383e-15,0.000383763608404113,0.344133023984776,215.08494207805,0.0324251723558289,208673.287889909,True,,34,0fold
703,1,3,0.000379370823637102,0,1.68531855138099e-15,0.000379370823637102,0.338465234057526,223.2181750085,0.0320876582002841,205406.706090219,True,,35,0fold
968,1,3,0.000381999941455383,0,0,0.000381999941455383,0.348570242434447,209.882363122496,0.0303840431958742,208785.340384917,True,neu_e_1,36,0fold
405,1,3,0.000377557749529539,0,0,0.000377557749529539,0.350415903054611,214.277778867252,0.030034387251076,205810.090957532,True,neu_e_1,37,0fold
451,1,3,0.000381415821006419,0,1.28785870856518e-15,0.000381415821006419,0.350776338520523,212.547643712326,0.0334000469977025,208777.781006873,True,,38,0fold
81,1,3,0.000384861891860032,0,0,0.000384861891860032,0.352523326893986,201.59129971158,0.0306810951333695,211850.363865675,True,neu_e_1,39,0fold
443,1,3,0.000384619971298928,0,1.18127729820117e-15,0.000384619971298928,0.345647161726024,211.33565767049,0.028402554337334,212642.188993478,True,,40,0fold
714,1,3,0.000386084774384981,0,1.99840144432528e-16,0.000386084774384981,0.349296244749782,211.212038005953,0.0313426492192326,212958.905706778,True,,41,0fold
614,1,3,0.000379770634848921,0,3.21520587931445e-15,0.000379770634848921,0.340711533804836,217.76675173018,0.0308481418670433,205538.269734868,True,,42,0fold
239,1,3,0.000382838008760468,0,0,0.000382838008760468,0.342570010338854,211.482088661169,0.0298789627946183,210338.451317708,True,neu_e_1,43,0fold
776,1,3,0.000375399942394529,0,8.88178419700125e-18,0.000375399942394529,0.343934333093074,208.567129581517,0.031900745357325,212561.536181651,True,,44,0fold
556,1,3,0.000379574936290906,0,1.05693231944315e-15,0.000379574936290906,0.337211174672651,230.324335807981,0.0399087416706415,205961.484967772,True,,45,0fold
659,1,3,0.000372729174025105,0,0,0.000372729174025105,0.349936598095266,206.506889394266,0.0350259828544025,208805.162131427,True,neu_e_1,46,0fold
