run,imp,exit_code,neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region
808,1,3,0.000476390260253234,0,0.0703634705066411,0.000476390260253234,182.447348717302,0.001,0.0729767237048596,170740.41238354,True,,0,all-enhancers
505,1,3,0.000447255647074019,0,0.0027788419357274,0.000447255647074019,56.7849615066753,0.0034837508572565,0.0186813743513689,172518.650894616,True,,1,all-enhancers
457,1,3,0.000471074829736104,0,0.0710361453193509,0.000471074829736104,200,0.00152631830223348,0.0771331073324932,171746.312177453,True,sel_shape,2,all-enhancers
700,1,3,0.000469057037217663,0,0.0735254624112488,0.000469057037217663,0.00476322553583895,25.5608650704263,0.0665607856343255,170349.26323972,True,,3,all-enhancers
401,1,3,0.000453382811204424,0,0.0269434990814322,0.000453382811204424,0.0669471182438371,4.25759373222743,0.0349185538635929,168508.332969663,True,,4,all-enhancers
378,1,3,0.000451113154082216,0,0,0.000451113154082216,0.00808854627516626,291.597019723695,0.00515787027473101,173132.795547872,True,neu_e_1,5,all-enhancers
113,1,3,0.000469606622544536,0,0.0723541403700736,0.000469606622544536,68.5913061772083,0.00102611799194963,0.0684695440837573,172097.459325393,True,,6,all-enhancers
9,1,3,0.000479068607010007,0,0.0706812949898477,0.000479068607010007,127.762259383178,0.001,0.0743979739042953,167067.949203564,True,r_61,7,all-enhancers
762,1,3,0.000479533749558003,0,0.0671210553168634,0.000479533749558003,0.031619819121489,26.8532690699488,0.0710142461143378,170707.358100148,True,,8,all-enhancers
913,1,3,0.000436676330015272,0,0.00134712787583935,0.000436676330015272,16.5236257049476,0.00122717288321291,0.00353159014917969,170949.867492155,True,,9,all-enhancers
159,1,3,0.000474038725510584,0,0.0687657468111084,0.000474038725510584,108.73238722129,0.001,0.0704748459667672,173406.250527303,True,r_61,10,all-enhancers
804,1,3,0.000471051344073549,0,0.0651632531971488,0.000471051344073549,200,0.00104256039109487,0.0685865847854063,167868.796488264,True,sel_shape;r_61,11,all-enhancers
890,1,3,0.00048553148105265,0,0.0633136751005345,0.00048553148105265,200,0.00127220287426943,0.0747096020354938,171569.278407071,True,sel_shape;r_61,12,all-enhancers
278,1,3,0.00044145759248944,0,0.00583108685355869,0.00044145759248944,0.00400245047378898,179.423766903981,0,172687.447524327,True,sel_e,13,all-enhancers
724,1,3,0.00044846045934214,0,0,0.00044846045934214,0.00138599572725191,9265.50863012102,0.0159979964225838,173693.048168698,True,neu_e_1,14,all-enhancers
116,1,3,0.000465971295889928,0,0.0725254636957776,0.000465971295889928,0.0349623881535731,5.42154388932027,0.070204611290461,170232.599437014,True,r_61,15,all-enhancers
369,1,3,0.000446787373535521,0,0.00583249742041,0.000446787373535521,0.00157759330533075,619.975657053159,8.11462788189177e-05,171903.976934279,True,,16,all-enhancers
609,1,3,0.000469412986301854,0,0.0636887514634368,0.000469412986301854,1.32565867877662e-05,0.00127925796217438,0.0567519184226653,167114.725878124,True,,17,all-enhancers
456,1,3,0.000476531371873368,0,0.0723341675176897,0.000476531371873368,114.640172433298,0.001,0.0703052547479532,174475.258311288,True,r_61,18,all-enhancers
670,1,3,0.000476303718760608,0,0.0745372826527829,0.000476303718760608,138.968590721392,0.001,0.0709195725483981,170035.601072431,True,,19,all-enhancers
654,1,3,0.00047730684279249,0,0.0733613443786108,0.00047730684279249,86.5627370450826,0.00100087805773582,0.0744937500275242,168605.796651624,True,r_61,20,all-enhancers
390,1,3,0.000463343108973269,0,0.059336513111366,0.000463343108973269,117.599621214134,0.001,0.0573438497058441,173191.251528696,True,,21,all-enhancers
6,1,3,0.000481108982863024,0,0.0661080590823531,0.000481108982863024,200,0.00105464182675604,0.074822340554494,167477.466916365,True,sel_shape;r_61,22,all-enhancers
137,1,3,0.000463670378711504,0,0.0799493757423062,0.000463670378711504,0.0191496116096063,24.7017939301061,0.0759669791002783,167796.836761804,True,r_61,23,all-enhancers
258,1,3,0.000447801421148554,0,0.00566567514788027,0.000447801421148554,193.317867728419,0.0011718841318664,0.0283412333376232,172206.091641139,True,,24,all-enhancers
804,1,3,0.000473685827489649,0,0.059323769229077,0.000473685827489649,200,0.00172371532844153,0.0604087377361801,170926.751077448,True,sel_shape,25,all-enhancers
820,1,3,0.000449526805038934,0,0,0.000449526805038934,150.641819047354,0.001,0.0113563044334265,168329.30931009,True,neu_e_1,26,all-enhancers
654,1,3,0.000484028852502723,0,0.0682859025361499,0.000484028852502723,196.398510828487,0.00100021412508016,0.0695191860495425,172330.346836472,True,r_61,27,all-enhancers
754,1,3,0.000459602279586659,0,0.00199460702840908,0.000459602279586659,0.00650514585062146,1679.3640412084,0.00762509828839892,171339.575708002,True,,28,all-enhancers
318,1,3,0.000451796015832283,0,0.0312506369414111,0.000451796015832283,91.4669212293925,0.00197013198169987,0.0295842880727279,172834.875250759,True,,29,all-enhancers
813,1,3,0.000480671410989214,0,0.0626573144316759,0.000480671410989214,0.0830957784883079,3.20305448936402,0.0776557681540565,175106.704177292,True,r_61,30,all-enhancers
6,1,3,0.000481977026756556,0,0.0707430886846718,0.000481977026756556,200,0.00105488743389595,0.0685648069833824,171502.993134888,True,sel_shape;r_61,31,all-enhancers
948,1,3,0.000466536497437194,0,0.073796034316474,0.000466536497437194,200,0.00147945365049599,0.0717573250549884,171414.411466265,True,sel_shape;r_61,32,all-enhancers
640,1,3,0.000480147120118493,0,0.0776535618256773,0.000480147120118493,0.0268871750382261,29.5574222708358,0.0778299137120362,170890.564723883,True,r_61,33,all-enhancers
828,1,3,0.000470525718902741,0,0.0631944386213404,0.000470525718902741,168.568457028047,0.001,0.0716478817890076,168854.134244045,True,r_61,34,all-enhancers
102,1,3,0.000468383456363095,0,0.0603905243686617,0.000468383456363095,200,0.00132957942603325,0.0695764148912344,168952.155422925,True,sel_shape;r_61,35,all-enhancers
368,1,3,0.000474696583074711,0,0.0707436145288009,0.000474696583074711,149.273194445235,0.001,0.0727116786789644,172607.130357613,True,r_61,36,all-enhancers
202,1,3,0.000474407512215765,0,0.0688506040049309,0.000474407512215765,200,0.00196252742286824,0.0747940656163337,166895.454214422,True,sel_shape;r_61,37,all-enhancers
149,1,3,0.000474143230837659,0,0.0667194139589445,0.000474143230837659,200,0.0011527376689333,0.0709000035230547,172532.101650479,True,sel_shape,38,all-enhancers
112,1,3,0.000484790914978276,0,0.0767691646548451,0.000484790914978276,200,0.00140260446144593,0.0716140883041341,170823.915610257,True,sel_shape;r_61,39,all-enhancers
418,1,3,0.00048342519770923,0,0.0725990355549806,0.00048342519770923,0.0411141828574159,12.7585258952071,0.0727749022260192,170425.546672183,True,r_61,40,all-enhancers
742,1,3,0.000478651694274886,0,0.0735222651587927,0.000478651694274886,200,0.00152462156470485,0.070492546525998,169365.543819208,True,sel_shape;r_61,41,all-enhancers
510,1,3,0.000481811422553376,0,0.0718335600166586,0.000481811422553376,132.038815979279,0.001,0.0684859949169726,172786.701044924,True,r_61,42,all-enhancers
665,1,3,0.000478312141413117,0,0.06945710708129,0.000478312141413117,1.06011582029073e-05,0.001,0.0729727510423405,169163.189972969,True,r_61,43,all-enhancers
222,1,3,0.000450420479844611,0,0.0102084566655044,0.000450420479844611,200,0.00184468418465394,0.0275647549046474,166687.412135831,True,sel_shape,44,all-enhancers
462,1,3,0.000478680347313973,0,0.076062004909257,0.000478680347313973,0.0251997039544751,17.4978117906684,0.0766696284164926,171205.069796167,True,r_61,45,all-enhancers
990,1,3,0.000474021335567013,0,0.0701251896996936,0.000474021335567013,6.46189594161648,0.00167286606850788,0.0700673025830079,169951.726007621,True,r_61,46,all-enhancers
756,1,3,0.000475291111942665,0,0.0699130097609091,0.000475291111942665,0.00377947201653251,165.777822737455,0.0714190748246535,170638.295781728,True,,47,all-enhancers
163,1,3,0.000444623442414229,0,0,0.000444623442414229,200,0.0012144567326653,0.0131007550976277,171913.372616119,True,neu_e_1;sel_shape,48,all-enhancers
226,1,3,0.000482911500266061,0,0.068363349760669,0.000482911500266061,200,0.00103785220002556,0.0728140000759105,171167.120761943,True,sel_shape;r_61,49,all-enhancers
973,1,3,0.000479873776653905,0,0.0703475905691637,0.000479873776653905,0.0765341699385124,3.18728683992338,0.0739174780329634,171762.232683594,True,r_61,50,all-enhancers
276,1,3,0.000437360529237526,0,0,0.000437360529237526,0.00116384482454436,1692.52126283336,0.005019617534734,172062.392853688,True,neu_e_1,51,all-enhancers
770,1,3,0.000479395926913146,0,0.0768845233273102,0.000479395926913146,103.839409318661,0.0010012379200698,0.0736390316375697,171049.599840865,True,,52,all-enhancers
426,1,3,0.000472836057809398,0,0.0730409341805801,0.000472836057809398,200,0.00133750338196869,0.0744695497811201,170903.443284654,True,sel_shape;r_61,53,all-enhancers
