run,imp,exit_code,neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region
8,1,3,0.000446682553929073,0,0,0.000446682553929073,0.201608513807505,202.841336721826,0.0250851149443094,20904.9887689683,True,neu_e_1,0,cds-enhancers
594,1,3,0.000469174537554848,0,2.22044604925031e-18,0.000469174537554848,0.195029918667431,206.42780010219,0.0285265328285471,21581.0612304424,True,,1,cds-enhancers
780,1,3,0.000438121250728412,0,2.22044604925031e-18,0.000438121250728412,0.207786268792426,171.114255302329,0.00264403132207983,20940.5636180759,True,,2,cds-enhancers
713,1,3,0.000464257888401404,0,0,0.000464257888401404,0.221849088611849,197.002773076,0.034197460020969,21232.7205541713,True,neu_e_1,3,cds-enhancers
250,1,3,0.000437969553251781,0,0,0.000437969553251781,0.199212936920271,230.012693297842,0.026447943811953,20150.6417954354,True,neu_e_1,4,cds-enhancers
412,1,3,0.000451272225871968,0,0,0.000451272225871968,0.200413477343079,193.713490152296,0.0248191797258824,20475.3119023831,True,neu_e_1,5,cds-enhancers
739,1,3,0.000466834683323947,0,2.22044604925031e-18,0.000466834683323947,0.216849774049652,188.751559482148,0.0129193706034467,21045.388156117,True,,6,cds-enhancers
701,1,3,0.000455757446181037,0,0,0.000455757446181037,0.194504127019692,226.600807090877,0.0232994155890478,21008.2217998729,True,neu_e_1,7,cds-enhancers
412,1,3,0.000456466663580305,0,0,0.000456466663580305,0.201159036555577,192.647963118888,0.0256436591731676,19828.3506033264,True,neu_e_1,9,cds-enhancers
57,1,3,0.000442087516634914,0,0,0.000442087516634914,0.243851337731096,160.136553280026,0.0248970104114287,21643.9442127094,True,neu_e_1,10,cds-enhancers
412,1,3,0.00046791648646032,0,0,0.00046791648646032,0.22132283327369,168.564620287571,0.0156190262998834,20339.082831025,True,neu_e_1,11,cds-enhancers
873,1,3,0.000417381156314542,0,2.22044604925031e-18,0.000417381156314542,0.195395343039731,197.489362666629,0.0341712718326101,21079.5470063891,True,,12,cds-enhancers
318,1,3,0.000441361753253668,0,0,0.000441361753253668,0.209616457138453,156.220730075728,0.0123891189693639,20806.4270938054,True,neu_e_1,13,cds-enhancers
257,1,3,0.000429959502115024,0,2.22044604925031e-18,0.000429959502115024,0.207465104566997,163.896978738097,0.0201112234092061,21383.1160263072,True,,14,cds-enhancers
219,1,3,0.000449319934687111,0,0,0.000449319934687111,0.208532603143831,186.545148533402,0.0227104990012952,21328.2663579629,True,neu_e_1,15,cds-enhancers
439,1,3,0.000442141834620607,0,0,0.000442141834620607,0.177998846015895,259.549986275996,0.0113855451066145,20267.3302373608,True,neu_e_1,16,cds-enhancers
81,1,3,0.00045255021416309,0,0,0.00045255021416309,0.192306958584619,208.897305228941,0.0284724196900649,20928.553516414,True,neu_e_1,17,cds-enhancers
407,1,3,0.000473975148253062,0,0,0.000473975148253062,0.194574699301479,214.839377834966,0.0247810672933086,21770.0027917046,True,neu_e_1,18,cds-enhancers
881,1,3,0.00045937633253858,0,0,0.00045937633253858,0.231147183638348,149.673616319449,0.0231485767674287,21684.3282399828,True,neu_e_1,19,cds-enhancers
77,1,3,0.000444647747599016,0,4.44089209850063e-18,0.000444647747599016,0.210443125419975,203.120933290467,0.00882451465467314,21299.7671107766,True,,20,cds-enhancers
276,1,3,0.000448867197713542,0,4.44089209850063e-18,0.000448867197713542,0.180929917362987,215.000609722796,0.0282904247062819,20763.141604749,True,,21,cds-enhancers
412,1,3,0.000444163137689709,0,0,0.000444163137689709,0.197469625591402,256.50613903856,0.0405213680020881,20888.1847210967,True,neu_e_1,22,cds-enhancers
998,1,3,0.000442227448286005,0,8.88178419700125e-18,0.000442227448286005,0.186772225884229,252.358637041979,0.0318951484276034,19839.1651425239,True,,23,cds-enhancers
164,1,3,0.000481479484795666,0,2.22044604925031e-18,0.000481479484795666,0.185138480410194,216.671464509192,0.0462356239536985,21859.2183023019,True,,24,cds-enhancers
412,1,3,0.000434501847536417,0,2.22044604925031e-18,0.000434501847536417,0.205441278670483,205.054553392286,0.0239321825214587,21294.9147488676,True,,25,cds-enhancers
981,1,3,0.000458800088898346,0,0,0.000458800088898346,0.188382725660163,228.161137976155,0.0287406593040414,20667.8998783689,True,neu_e_1,26,cds-enhancers
518,1,3,0.000456885638108489,0,0,0.000456885638108489,0.192480888201554,240.064758491303,0.010690957521779,20913.2116705062,True,neu_e_1,27,cds-enhancers
135,1,3,0.000435106890765513,0,2.22044604925031e-18,0.000435106890765513,0.175295233194825,257.846519340069,0.0241348180222537,21603.8097314904,True,,28,cds-enhancers
954,1,3,0.000442240197598566,0,0,0.000442240197598566,0.192276513165969,242.62872546738,0.0377094487333647,20715.981202748,True,neu_e_1,29,cds-enhancers
881,1,3,0.000441048379390652,0,0,0.000441048379390652,0.21687718982006,148.33670036936,0.0231193750743053,20685.2845405811,True,neu_e_1,30,cds-enhancers
412,1,3,0.000425399963798335,0,0,0.000425399963798335,0.214698515998285,167.562268983742,0.0223373025430694,20451.9767154497,True,neu_e_1,31,cds-enhancers
623,1,3,0.000458901429105306,0,0,0.000458901429105306,0.202510590914142,229.330981419511,0.0402261394191352,21113.6170696985,True,neu_e_1,32,cds-enhancers
284,1,3,0.000444371575569518,0,0,0.000444371575569518,0.185574707634028,239.466870656974,0.0360986379212946,21113.0155715997,True,neu_e_1,34,cds-enhancers
395,1,3,0.000452222188478093,0,0,0.000452222188478093,0.196344665237631,217.221981722818,0.0299716401045796,21291.4317189563,True,neu_e_1,35,cds-enhancers
241,1,3,0.000438557185425721,0,2.22044604925031e-18,0.000438557185425721,0.204418770095443,184.865160346331,0.0282163487024866,20785.5698108121,True,,36,cds-enhancers
434,1,3,0.000447940572023971,0,0,0.000447940572023971,0.226549003140947,156.431640081506,0.039357194916137,20379.5175731916,True,neu_e_1,37,cds-enhancers
802,1,3,0.000434500019572332,0,0,0.000434500019572332,0.188762334101988,276.688839531503,0.00671301463416837,20795.9128790892,True,neu_e_1,38,cds-enhancers
75,1,3,0.000452681873596371,0,4.44089209850063e-18,0.000452681873596371,0.190218128968057,220.443677762686,0.0144338232482998,21284.5804249489,True,,39,cds-enhancers
412,1,3,0.000429682044342051,0,0,0.000429682044342051,0.212298353743439,184.058171801935,0.0156529174144905,19891.360003344,True,neu_e_1,40,cds-enhancers
394,1,3,0.000440037915169416,0,0,0.000440037915169416,0.21482934088804,165.636140497424,0,21097.7465727712,True,neu_e_1;sel_e,41,cds-enhancers
701,1,3,0.000445226471593709,0,0,0.000445226471593709,0.20962457351902,203.229835459203,0.0232356329984325,21091.3922395876,True,neu_e_1,42,cds-enhancers
646,1,3,0.00045098722824701,0,0,0.00045098722824701,0.206515197832563,207.621447202241,0.0059315559347946,20955.1179365549,True,neu_e_1,43,cds-enhancers
412,1,3,0.000424248084424024,0,0,0.000424248084424024,0.178239928196555,220.239473425132,0.0314394591672119,20402.0218579997,True,neu_e_1,44,cds-enhancers
36,1,3,0.000434242423880632,0,0,0.000434242423880632,0.177661586810983,202.771210246801,0.027369171992012,21307.3807710454,True,neu_e_1,46,cds-enhancers
115,1,3,0.000445063983366126,0,0,0.000445063983366126,0.228033894599423,167.522690589693,0.0247189665208334,21513.6800015589,True,neu_e_1,47,cds-enhancers
701,1,3,0.000429970402542265,0,0,0.000429970402542265,0.202992890114322,208.058637736896,2.57249084852473e-05,19837.9773343417,True,neu_e_1,48,cds-enhancers
214,1,3,0.000425353001875474,0,4.44089209850063e-18,0.000425353001875474,0.204436949005387,189.029459297028,0.0250181072169848,20741.8787548086,True,,49,cds-enhancers
561,1,3,0.000449662826835268,0,0,0.000449662826835268,0.220191642043907,200.115360388494,0.0283715258285287,21168.273763865,True,neu_e_1,50,cds-enhancers
658,1,3,0.000448052529691493,0,0,0.000448052529691493,0.221805483971624,160.418298169125,0.0305961339567719,20904.0791260604,True,neu_e_1,51,cds-enhancers
701,1,3,0.000451627549972745,0,0,0.000451627549972745,0.182875726837151,251.112852609334,0.0224942567928688,21144.8961985796,True,neu_e_1,52,cds-enhancers
328,1,3,0.000438716593388026,0,0,0.000438716593388026,0.19691422499512,228.908598862469,0.0316396504588611,21052.9401371807,True,neu_e_1,53,cds-enhancers
169,1,3,0.000446356789365602,0,2.22044604925031e-18,0.000446356789365602,0.18574650134547,247.163785346637,0.015881498335497,20190.146514306,True,,54,cds-enhancers
36,1,3,0.000452240598157305,0,2.22044604925031e-18,0.000452240598157305,0.211151256393386,193.053378428062,0.0381733482766651,20780.483631613,True,,55,cds-enhancers
241,1,3,0.000451803986131762,0,6.66133814775094e-18,0.000451803986131762,0.213444940359401,177.635712450491,0.0299086102755001,21673.0175481773,True,,56,cds-enhancers
271,1,3,0.000444814136102397,0,0,0.000444814136102397,0.203476678421232,203.788524266345,0.0322659092070223,20523.6176622148,True,neu_e_1,57,cds-enhancers
951,1,3,0.000438828391985083,0,0,0.000438828391985083,0.211445094982704,201.341006316562,0.012541055463042,21494.950365739,True,neu_e_1,58,cds-enhancers
297,1,3,0.000445765007909435,0,0,0.000445765007909435,0.217133688574395,180.528048283255,0.00279665732611213,21869.5415706751,True,neu_e_1,59,cds-enhancers
196,1,3,0.000439279663377288,0,0,0.000439279663377288,0.195735279647764,199.880237473831,0.0391913181022697,20749.2935993406,True,neu_e_1,60,cds-enhancers
198,1,3,0.0004602147486223,0,2.22044604925031e-18,0.0004602147486223,0.202555439591941,207.767735324493,0.0245992339078175,21363.5316491693,True,,61,cds-enhancers
284,1,3,0.000451831783198482,0,0,0.000451831783198482,0.181137351643638,234.719382765384,0.0233453826464625,20688.2643113133,True,neu_e_1,62,cds-enhancers
412,1,3,0.000455560992558616,0,2.22044604925031e-18,0.000455560992558616,0.210963184109766,211.02044869478,0.0266140486219322,21041.0503707529,True,,63,cds-enhancers
697,1,3,0.000455313135714478,0,1.33226762955019e-17,0.000455313135714478,0.223156655559384,152.78586455096,0.0282142266646582,20393.4727207916,True,,64,cds-enhancers
646,1,3,0.000454984329753117,0,4.44089209850063e-18,0.000454984329753117,0.199341238556719,224.390332634544,0.017650512516772,21340.3719521366,True,,65,cds-enhancers
964,1,3,0.000444638061842168,0,0,0.000444638061842168,0.188200359567788,247.498596297926,0.00716484553272773,21320.6185739233,True,neu_e_1,66,cds-enhancers
708,1,3,0.000460654552636293,0,0,0.000460654552636293,0.211100767443797,192.867022421426,0.0343689620242864,21233.5055727322,True,neu_e_1,67,cds-enhancers
362,1,3,0.000444243327745765,0,0,0.000444243327745765,0.211697082910215,198.853382437878,0.0201154379810764,21206.690299815,True,neu_e_1,68,cds-enhancers
594,1,3,0.000431247582697983,0,0,0.000431247582697983,0.190196552209203,227.449479864985,0.0162043788847794,21084.4613672971,True,neu_e_1,69,cds-enhancers
463,1,3,0.000432855109546489,0,6.66133814775094e-18,0.000432855109546489,0.196284077513787,192.167179207782,0.0277854239314357,20000.7363019258,True,,70,cds-enhancers
250,1,3,0.000442792922445953,0,0,0.000442792922445953,0.200769039239315,177.583330897971,0.0268471951715222,20629.009807284,True,neu_e_1,71,cds-enhancers
122,1,3,0.000457956137260834,0,0,0.000457956137260834,0.204147016428183,194.429670135864,0.0194500847530761,20400.1899203141,True,neu_e_1,72,cds-enhancers
18,1,3,0.000463644558761177,0,6.66133814775094e-18,0.000463644558761177,0.213238228875177,196.845696359649,0.0139054896530712,21118.1968759462,True,,73,cds-enhancers
412,1,3,0.000451068422075679,0,0,0.000451068422075679,0.218394341696696,165.097022627645,0.0214522245517483,20833.2914289751,True,neu_e_1,74,cds-enhancers
