run,imp,exit_code,neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region
645,1,3,0.000473881165112144,0,0.0693685535396796,0.000473881165112144,0.0320205800741555,28.8001355828169,0.0722753790548047,6308055.43370131,True,,0,intergenic
178,1,3,0.000467484515032961,0,0.0623906933134053,0.000467484515032961,0.885175154682539,0.408564730783084,0.074097179214867,6158820.30088779,True,,1,intergenic
393,1,3,0.000451479912513794,0,0.0165580300462838,0.000451479912513794,0.0103676988269681,772.796661590129,0.0238839172126513,6274803.68126482,True,,2,intergenic
244,1,3,0.000472794339139702,0,0.0663842157548358,0.000472794339139702,0.0315143282893313,13.3442116076435,0.0742718094149089,6325140.53672756,True,,3,intergenic
237,1,3,0.000469677526381017,0,0.0644702675352221,0.000469677526381017,0.0370108179046847,31.6174700886263,0.067276289957268,6358723.87493805,True,,4,intergenic
21,1,3,0.000467656848763131,0,0.0681349262953694,0.000467656848763131,0.235283162044964,0.968379008386232,0.0755937649717982,6188304.71117624,True,,5,intergenic
101,1,3,0.000471401655936017,0,0.0545992069588803,0.000471401655936017,2.77878957144384,0.1,0.0628354417488612,6321362.46825397,True,sel_scale,6,intergenic
614,1,3,0.000472974176271779,0,0.0668418968630626,0.000472974176271779,0.0220003056585086,142.879421437069,0.0667317234119275,6256579.76371385,True,,7,intergenic
438,1,3,0.000477114749771456,0,0.0689296618126304,0.000477114749771456,0.280853143621935,2.01332779379152,0.0743417600476389,6427400.54024448,True,,8,intergenic
454,1,3,0.000480868442557227,0,0.0697983356407504,0.000480868442557227,0.00879472256634165,852.505808446089,0.0754589958386,6270500.75697115,True,,9,intergenic
629,1,3,0.000475006938634477,0,0.062774827156893,0.000475006938634477,0.0218093166317139,79.1718669111737,0.0715777244944779,6224679.86105446,True,,10,intergenic
847,1,3,0.000449039025538842,0,0.0153341240182193,0.000449039025538842,0.0026190614999875,3509.61847902589,0.0263679207863038,6140832.65384074,True,,11,intergenic
654,1,3,0.000481026615823927,0,0.0704378704542572,0.000481026615823927,0.0099290837982608,656.241913759918,0.0738432158174291,6317916.64033708,True,,12,intergenic
107,1,3,0.000448315205204779,0,0.0108907176199729,0.000448315205204779,0.0193731546841328,148.662046521561,0.0142276213058144,6406003.90519071,True,,13,intergenic
137,1,3,0.000454908423869974,0,0.0210074256337115,0.000454908423869974,0.0150021504622422,282.594403331422,0.0230876397434417,6343488.94903144,True,,14,intergenic
254,1,3,0.000470422659617103,0,0.0613846273456867,0.000470422659617103,0.109873060071386,6.86721050502997,0.0738089852718149,6181768.29294909,True,,15,intergenic
359,1,3,0.000474957323738743,0,0.0795375160109676,0.000474957323738743,0.178526576081347,2.37299226887819,0.0739828952206854,6555219.40147085,True,,16,intergenic
848,1,3,0.000473665005734763,0,0.0710759589185236,0.000473665005734763,0.0286649181033541,20.3437331325638,0.0727027131007095,6339205.48274595,True,,17,intergenic
116,1,3,0.000451111597394339,0,0.000188740741324807,0.000451111597394339,0.0224859197257302,219.505175139132,0.00659233729633839,6261282.15929779,True,,18,intergenic
563,1,3,0.00047392696957419,0,0.0588748592857251,0.00047392696957419,0.0319847906698948,39.9008770736381,0.0646379631973862,6342793.34817237,True,,19,intergenic
238,1,3,0.000456162168289074,0,0.0130193917160214,0.000456162168289074,0.00717311566807108,615.176007879808,0.0276058681425874,6353841.44777057,True,,20,intergenic
235,1,3,0.000475179350191408,0,0.0650655806384625,0.000475179350191408,0.030854758535702,27.7129339310244,0.0686459510853784,6281502.47803152,True,,21,intergenic
711,1,3,0.000475453857109588,0,0.0755699459537448,0.000475453857109588,0.0421524767910828,31.3341543303669,0.0757106963167345,6432167.52424038,True,,22,intergenic
