run,imp,exit_code,neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region
27,1,3,0.000482285858205269,0,0.0690002543687866,0.000482285858205269,0.001,0.1,0.0750715688607569,86374.4820256235,True,sel_shape;sel_scale,0,intron-enhancers
155,1,3,0.000479581030164021,0,0.0690021899872445,0.000479581030164021,0.001,0.1,0.0800523945035054,88279.8157377746,True,sel_shape;sel_scale,1,intron-enhancers
918,1,3,0.000488550371996984,0,0.0722762206558312,0.000488550371996984,0.001,0.1,0.0778559553063461,88287.6484684091,True,sel_shape;sel_scale;r_61,2,intron-enhancers
753,1,3,0.000470150343775508,0,0.0707279012412823,0.000470150343775508,0.001,0.1,0.0845682308366308,88443.7065759783,True,sel_shape;sel_scale;r_61,3,intron-enhancers
473,1,3,0.000490743799394253,0,0.0687489558874282,0.000490743799394253,0.001,0.1,0.0805483573459404,87401.0450161078,True,sel_shape;sel_scale;r_61,4,intron-enhancers
270,1,3,0.000473436394492994,0,0.0639513784542096,0.000473436394492994,0.001,0.1,0.0754989505783945,87767.4830739911,True,sel_shape;sel_scale;r_61,5,intron-enhancers
124,1,3,0.000476638533039278,0,0.0853187958164051,0.000476638533039278,0.001,0.1,0.0822060489197371,87915.1021848652,True,sel_shape;sel_scale,6,intron-enhancers
620,1,3,0.000490630969954147,0,0.0872159720981925,0.000490630969954147,0.001,0.1,0.084945730011745,87269.2713171962,True,sel_shape;sel_scale;r_61,7,intron-enhancers
971,1,3,0.000477633437711907,0,0.0604010981857103,0.000477633437711907,0.001,0.1,0.0726167707272233,86512.904414091,True,sel_shape;sel_scale;r_61,8,intron-enhancers
498,1,3,0.00048633451057542,0,0.0686106376918467,0.00048633451057542,0.001,0.1,0.0815383111502454,85459.8431855855,True,sel_shape;sel_scale;r_61,9,intron-enhancers
621,1,3,0.00046944525917188,0,0.0680642383229592,0.00046944525917188,0.001,0.1,0.0803137296429074,87270.2178962799,True,sel_shape;sel_scale;r_61,10,intron-enhancers
748,1,3,0.000472735946698115,0,0.0645234514782438,0.000472735946698115,0.001,0.1,0.0759152110572276,85397.0219477591,True,sel_shape;sel_scale,11,intron-enhancers
30,1,3,0.000485261308170639,0,0.0635575124357616,0.000485261308170639,0.001,0.1,0.0784191031895907,88602.5621964749,True,sel_shape;sel_scale,12,intron-enhancers
734,1,3,0.000508861232894882,0,0.0776985221347399,0.000508861232894882,0.001,0.1,0.0724940827924042,89001.5770790531,True,sel_shape;sel_scale;r_61,13,intron-enhancers
930,1,3,0.000482953062159024,0,0.0697290624868569,0.000482953062159024,0.001,0.1,0.079492796730313,86194.0746508475,True,sel_shape;sel_scale;r_61,14,intron-enhancers
423,1,3,0.000473058264713689,0,0.0617986804266498,0.000473058264713689,0.001,0.1,0.0707549968193562,86984.1496283974,True,sel_shape;sel_scale;r_61,15,intron-enhancers
519,1,3,0.000481112084144068,0,0.0729161346893199,0.000481112084144068,0.001,0.1,0.0801298325683059,86676.0909565027,True,sel_shape;sel_scale,16,intron-enhancers
530,1,3,0.000474169678282416,0,0.0643679808031282,0.000474169678282416,0.001,0.1,0.0769369680252764,84909.0228602027,True,sel_shape;sel_scale;r_61,17,intron-enhancers
27,1,3,0.000484043478222972,0,0.0632425701111287,0.000484043478222972,0.001,0.1,0.0721575765932706,84485.7295415374,True,sel_shape;sel_scale;r_61,18,intron-enhancers
79,1,3,0.000467966755332891,0,0.0772650224253367,0.000467966755332891,0.001,0.1,0.0834504893992556,84246.4880155859,True,sel_shape;sel_scale;r_61,19,intron-enhancers
814,1,3,0.000465873791440767,0,0.078307293877973,0.000465873791440767,0.001,0.1,0.0768627639825316,83910.4078348938,True,sel_shape;sel_scale,20,intron-enhancers
181,1,3,0.000471735515094237,0,0.069674821753812,0.000471735515094237,0.001,0.1,0.0742825994424355,85015.6517235379,True,sel_shape;sel_scale,21,intron-enhancers
236,1,3,0.000479308854349069,0,0.0655674979462936,0.000479308854349069,0.001,0.1,0.0811008386282287,85478.3041133425,True,sel_shape;sel_scale;r_61,22,intron-enhancers
125,1,3,0.000487016669729204,0,0.0648068886748463,0.000487016669729204,0.001,0.1,0.0675316877973318,85618.1294628107,True,sel_shape;sel_scale,23,intron-enhancers
699,1,3,0.000497684541319336,0,0.0769811316173683,0.000497684541319336,0.001,0.1,0.0772241001237687,86569.6833109515,True,sel_shape;sel_scale;r_61,24,intron-enhancers
306,1,3,0.000501598932281165,0,0.0727316011380106,0.000501598932281165,0.001,0.1,0.0834632146460017,88053.6832158572,True,sel_shape;sel_scale,25,intron-enhancers
511,1,3,0.000496925375648409,0,0.0735769645420475,0.000496925375648409,0.001,0.1,0.0752411948809174,88382.3407437733,True,sel_shape;sel_scale,26,intron-enhancers
983,1,3,0.00047930206402455,0,0.0661643989236807,0.00047930206402455,0.001,0.1,0.082831896430872,85275.7609933718,True,sel_shape;sel_scale;r_61,27,intron-enhancers
501,1,3,0.000485203493687637,0,0.0759686866960298,0.000485203493687637,0.001,0.1,0.0687937362915252,86103.4594051633,True,sel_shape;sel_scale,28,intron-enhancers
240,1,3,0.000470610741276636,0,0.0694443111774613,0.000470610741276636,0.001,0.1,0.0736607012703709,86388.4167772026,True,sel_shape;sel_scale,29,intron-enhancers
933,1,3,0.000470092811826731,0,0.0759961578111013,0.000470092811826731,0.001,0.1,0.0724730094412674,86102.0928139318,True,sel_shape;sel_scale;r_61,30,intron-enhancers
682,1,3,0.00047826145901848,0,0.0598521971534323,0.00047826145901848,0.001,0.1,0.0761516131547995,85482.6770975784,True,sel_shape;sel_scale;r_61,31,intron-enhancers
885,1,3,0.000467805971377438,0,0.0706601153143709,0.000467805971377438,0.001,0.1,0.0731204757119802,83758.9650609441,True,sel_shape;sel_scale;r_61,32,intron-enhancers
814,1,3,0.00049689724454016,0,0.0638869615335398,0.00049689724454016,0.001,0.1,0.0813555946393466,87622.9222594215,True,sel_shape;sel_scale;r_61,33,intron-enhancers
710,1,3,0.000487535518737214,0,0.0666882804176037,0.000487535518737214,0.001,0.1,0.0737501885642693,85957.1692383661,True,sel_shape;sel_scale;r_61,34,intron-enhancers
427,1,3,0.000474280862072689,0,0.0616632202560647,0.000474280862072689,0.001,0.1,0.0787176053259098,86023.9827691852,True,sel_shape;sel_scale;r_61,35,intron-enhancers
51,1,3,0.000471651923407913,0,0.0706920435215899,0.000471651923407913,0.001,0.1,0.0759796334975356,85567.008575434,True,sel_shape;sel_scale;r_61,36,intron-enhancers
821,1,3,0.000500475158538845,0,0.0679420744522339,0.000500475158538845,0.001,0.1,0.0780606142163788,84650.8897041493,True,sel_shape;sel_scale,37,intron-enhancers
408,1,3,0.000476730558178192,0,0.0819618519509287,0.000476730558178192,0.001,0.1,0.0766402318296734,85960.6765671753,True,sel_shape;sel_scale,38,intron-enhancers
309,1,3,0.000481267864417415,0,0.0736647428042124,0.000481267864417415,0.001,0.1,0.0708953931595816,84005.1705210844,True,sel_shape;sel_scale;r_61,39,intron-enhancers
252,1,3,0.000476254353853393,0,0.0662373208328619,0.000476254353853393,0.001,0.1,0.0747807902038793,86145.1065969818,True,sel_shape;sel_scale;r_61,40,intron-enhancers
858,1,3,0.000492147102125765,0,0.0551532136988872,0.000492147102125765,0.001,0.1,0.0786862221200579,85400.6331912515,True,sel_shape;sel_scale,41,intron-enhancers
200,1,3,0.000484910827715207,0,0.0782849323088756,0.000484910827715207,0.001,0.1,0.0799461561856326,83623.8028054747,True,sel_shape;sel_scale,42,intron-enhancers
734,1,3,0.000491819528469551,0,0.0687184298329481,0.000491819528469551,0.001,0.1,0.0844472330684082,86377.081924013,True,sel_shape;sel_scale;r_61,43,intron-enhancers
931,1,3,0.000475831388020845,0,0.0738581930784544,0.000475831388020845,0.001,0.1,0.0779007606215577,84012.6559230956,True,sel_shape;sel_scale;r_61,44,intron-enhancers
488,1,3,0.000478344682701266,0,0.0675299770856383,0.000478344682701266,0.001,0.1,0.0708489976295787,87141.5765889897,True,sel_shape;sel_scale;r_61,45,intron-enhancers
306,1,3,0.000469993737012477,0,0.0552674875334409,0.000469993737012477,0.001,0.1,0.0686092229362177,84539.6745790435,True,sel_shape;sel_scale;r_61,46,intron-enhancers
834,1,3,0.0004738611247537,0,0.0715771200512578,0.0004738611247537,0.001,0.1,0.0760788121526155,84980.0340915642,True,sel_shape;sel_scale;r_61,47,intron-enhancers
274,1,3,0.000485009371818819,0,0.061741388935694,0.000485009371818819,0.001,0.1,0.0776284394163161,86090.6865577991,True,sel_shape;sel_scale;r_61,48,intron-enhancers
703,1,3,0.000480044355600042,0,0.0817708868051887,0.000480044355600042,0.001,0.1,0.0771094153088059,85290.9512522166,True,sel_shape;sel_scale,49,intron-enhancers
488,1,3,0.000485758301888054,0,0.0696282841854104,0.000485758301888054,0.001,0.1,0.0772380659154684,85901.915381825,True,sel_shape;sel_scale;r_61,50,intron-enhancers
654,1,3,0.000485186080595458,0,0.0694162814394392,0.000485186080595458,0.001,0.1,0.0758923519392054,87788.3598455481,True,sel_shape;sel_scale;r_61,51,intron-enhancers
694,1,3,0.000487047464477502,0,0.0807581734792012,0.000487047464477502,0.001,0.1,0.0726324857206451,85994.9445472931,True,sel_shape;sel_scale;r_61,52,intron-enhancers
930,1,3,0.000499757898464348,0,0.0689865440744285,0.000499757898464348,0.001,0.1,0.0825597784828938,85511.8574065316,True,sel_shape;sel_scale;r_61,53,intron-enhancers
426,1,3,0.000464704871147659,0,0.0689528179779474,0.000464704871147659,0.001,0.1,0.0651384690798958,85656.4200613195,True,sel_shape;sel_scale;r_61,54,intron-enhancers
422,1,3,0.000501913076738638,0,0.0634527380242743,0.000501913076738638,0.001,0.1,0.0728818304933401,87060.2876256768,True,sel_shape;sel_scale;r_61,55,intron-enhancers
719,1,3,0.000481698746056101,0,0.0653596372480561,0.000481698746056101,0.001,0.1,0.0749476185038203,88241.2100538206,True,sel_shape;sel_scale;r_61,56,intron-enhancers
989,1,3,0.000479012089299694,0,0.0729066214892887,0.000479012089299694,0.001,0.1,0.0831800090880724,83717.6306335763,True,sel_shape;sel_scale;r_61,57,intron-enhancers
513,1,3,0.000489589597912623,0,0.0831213940683525,0.000489589597912623,0.001,0.1,0.0856518088776154,87498.6579662359,True,sel_shape;sel_scale,58,intron-enhancers
128,1,3,0.000486391193903202,0,0.0650322570097199,0.000486391193903202,0.001,0.1,0.0666554304078114,86165.4394076153,True,sel_shape;sel_scale;r_61,59,intron-enhancers
21,1,3,0.000466963040708024,0,0.0611274082236236,0.000466963040708024,0.001,0.1,0.078361295969109,84756.3807667436,True,sel_shape;sel_scale;r_61,60,intron-enhancers
426,1,3,0.000476412982788668,0,0.069498489128557,0.000476412982788668,0.001,0.1,0.071301928155575,90313.8854512598,True,sel_shape;sel_scale;r_61,61,intron-enhancers
640,1,3,0.00048555362310273,0,0.0667922859579263,0.00048555362310273,0.001,0.1,0.0705857940734337,84975.1263058801,True,sel_shape;sel_scale,62,intron-enhancers
503,1,3,0.00048574636669108,0,0.0687363610615251,0.00048574636669108,0.001,0.1,0.0825954927563207,86539.2347948351,True,sel_shape;sel_scale;r_61,63,intron-enhancers
945,1,3,0.000481609279084863,0,0.0709436630915801,0.000481609279084863,0.001,0.1,0.078516614872682,85352.6704972024,True,sel_shape;sel_scale;r_61,64,intron-enhancers
181,1,3,0.000494620965088243,0,0.0724251679797673,0.000494620965088243,0.001,0.1,0.0763291305277198,86761.994146779,True,sel_shape;sel_scale;r_61,65,intron-enhancers
885,1,3,0.000479585435188223,0,0.0668096074371693,0.000479585435188223,0.001,0.1,0.0832052141477884,85979.9035905775,True,sel_shape;sel_scale,66,intron-enhancers
816,1,3,0.00049390492190196,0,0.0649390263084783,0.00049390492190196,0.001,0.1,0.0716300200465377,86298.3723577933,True,sel_shape;sel_scale,67,intron-enhancers
306,1,3,0.000493991439936216,0,0.0718100918450539,0.000493991439936216,0.001,0.1,0.0746284420219832,87000.9459500496,True,sel_shape;sel_scale,68,intron-enhancers
433,1,3,0.00047727274059994,0,0.063655535276041,0.00047727274059994,0.001,0.1,0.0779421349133994,84711.0502890109,True,sel_shape;sel_scale;r_61,69,intron-enhancers
340,1,3,0.000484925647801825,0,0.0663836463726296,0.000484925647801825,0.001,0.1,0.0708394116052298,87855.8477604119,True,sel_shape;sel_scale;r_61,70,intron-enhancers
119,1,3,0.000477735768584769,0,0.0690897283894135,0.000477735768584769,0.001,0.1,0.0702707064038849,87522.9043740227,True,sel_shape;sel_scale,71,intron-enhancers
847,1,3,0.000481997466312715,0,0.0642049467247235,0.000481997466312715,0.001,0.1,0.069532119848909,85783.1031489676,True,sel_shape;sel_scale,72,intron-enhancers
710,1,3,0.000487595203225761,0,0.0682315401284056,0.000487595203225761,0.001,0.1,0.0754706246183605,84737.970609836,True,sel_shape;sel_scale,73,intron-enhancers
943,1,3,0.000486690829302303,0,0.0643619470035455,0.000486690829302303,0.001,0.1,0.070002531012346,87006.3049958549,True,sel_shape;sel_scale;r_61,74,intron-enhancers
986,1,3,0.000502460357972015,0,0.0718543488893994,0.000502460357972015,0.001,0.1,0.0776645706295964,88393.9525939006,True,sel_shape;sel_scale;r_61,75,intron-enhancers
82,1,3,0.000490795383981657,0,0.0700617081481552,0.000490795383981657,0.001,0.1,0.0786296749612557,87048.9712043855,True,sel_shape;sel_scale,76,intron-enhancers
69,1,3,0.000488458591961592,0,0.0713731849194592,0.000488458591961592,0.001,0.1,0.0731542071101526,86862.4297164236,True,sel_shape;sel_scale;r_61,77,intron-enhancers
583,1,3,0.000474932082584883,0,0.0752085432707059,0.000474932082584883,0.001,0.1,0.0773155536369983,83978.3396285653,True,sel_shape;sel_scale;r_61,78,intron-enhancers
982,1,3,0.00048245237735559,0,0.0751247907545222,0.00048245237735559,0.001,0.1,0.0745351202276377,87327.9806804317,True,sel_shape;sel_scale;r_61,79,intron-enhancers
466,1,3,0.000474560610285596,0,0.079703611130391,0.000474560610285596,0.001,0.1,0.0761468927438156,86514.6746278474,True,sel_shape;sel_scale;r_61,80,intron-enhancers
703,1,3,0.000468793995666647,0,0.0634841174567672,0.000468793995666647,0.001,0.1,0.080729024868789,84026.4882740312,True,sel_shape;sel_scale,81,intron-enhancers
21,1,3,0.000482053887120264,0,0.0700606886239603,0.000482053887120264,0.001,0.1,0.0641323949324951,86784.4984879175,True,sel_shape;sel_scale;r_61,82,intron-enhancers
358,1,3,0.000484935623916129,0,0.0716540480006519,0.000484935623916129,0.001,0.1,0.0747398622698706,89344.6279260934,True,sel_shape;sel_scale;r_61,83,intron-enhancers
554,1,3,0.000481159864573926,0,0.0821369483647709,0.000481159864573926,0.001,0.1,0.0735093344166882,85725.2537608309,True,sel_shape;sel_scale;r_61,84,intron-enhancers
298,1,3,0.000482189163005048,0,0.0674838510709064,0.000482189163005048,0.001,0.1,0.0806232428558118,85793.9138841899,True,sel_shape;sel_scale;r_61,85,intron-enhancers
930,1,3,0.000482972784414856,0,0.0678217664949635,0.000482972784414856,0.001,0.1,0.0747019520795658,86926.6881903058,True,sel_shape;sel_scale;r_61,86,intron-enhancers
384,1,3,0.000481548723745905,0,0.0726297079947881,0.000481548723745905,0.001,0.1,0.084707766792165,86826.9016737239,True,sel_shape;sel_scale;r_61,87,intron-enhancers
930,1,3,0.000472934368231088,0,0.0702532723218772,0.000472934368231088,0.001,0.1,0.0753225744707524,88125.783383971,True,sel_shape;sel_scale;r_61,88,intron-enhancers
554,1,3,0.000491284682065684,0,0.0583096754339218,0.000491284682065684,0.001,0.1,0.0759890456981507,86384.5223684547,True,sel_shape;sel_scale;r_61,89,intron-enhancers
797,1,3,0.000487917099482817,0,0.068892769414481,0.000487917099482817,0.001,0.1,0.0843507552521836,88180.1602227329,True,sel_shape;sel_scale;r_61,90,intron-enhancers
621,1,3,0.000479553936235706,0,0.0691484539089613,0.000479553936235706,0.001,0.1,0.0772820996642117,82560.448518244,True,sel_shape;sel_scale,91,intron-enhancers
566,1,3,0.000502626416842155,0,0.0613031662237706,0.000502626416842155,0.001,0.1,0.0796029672254901,87652.9602080471,True,sel_shape;sel_scale;r_61,92,intron-enhancers
554,1,3,0.000492638850184704,0,0.0746270341164934,0.000492638850184704,0.001,0.1,0.080817084565682,85388.5812456446,True,sel_shape;sel_scale;r_61,93,intron-enhancers
238,1,3,0.000479572390590763,0,0.0673319251546374,0.000479572390590763,0.001,0.1,0.0784868976827791,87411.6986284776,True,sel_shape;sel_scale,94,intron-enhancers
552,1,3,0.000474453391400408,0,0.0798081389559461,0.000474453391400408,0.377315818252366,0.1,0.0730963519712267,88236.3557269666,True,sel_scale;r_61,95,intron-enhancers
930,1,3,0.000481473416266215,0,0.0741352096400678,0.000481473416266215,0.001,0.1,0.0784817204556754,88438.0568702389,True,sel_shape;sel_scale,96,intron-enhancers
675,1,3,0.000489312344507156,0,0.0705904483435766,0.000489312344507156,0.001,0.1,0.0740572949259193,86425.0475928034,True,sel_shape;sel_scale;r_61,97,intron-enhancers
824,1,3,0.000505445125606903,0,0.0674645154189525,0.000505445125606903,0.001,0.1,0.073359162675605,86854.1171232318,True,sel_shape;sel_scale;r_61,98,intron-enhancers
851,1,3,0.000489368848756306,0,0.056490878680687,0.000489368848756306,0.714477595855253,0.1,0.0736602462349022,85803.5353641425,True,sel_scale;r_61,99,intron-enhancers
