run,imp,exit_code,theta,scale,shape,gamma,e,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,alpha,delta_AIC
303,1,3,0.000450782923127496,na,na,0,0,1,neu,20908.904515299,neu_e_1|sel_e_2,1000,True,snp_discrete_2class_equal_t,67,-41683.809030598,-0.004571252710457374,0.0
303,1,3,0.000228571940427787,na,na,-0.308798703102487,0.00906698589625093,1,sel,20908.904515299,neu_e_1|sel_e_2,1000,True,snp_discrete_2class_equal_t,67,-41683.809030598,-0.004571252710457374,0.0
303,1,3,0.000222210982699708,na,na,-56.715974301,0,2,sel,20908.904515299,neu_e_1|sel_e_2,1000,True,snp_discrete_2class_equal_t,67,-41683.809030598,-0.004571252710457374,0.0
8,1,3,0.000446682553929073,na,na,0,0,1,neu,20904.9887689683,neu_e_1,1000,True,snp_continuous_1class_equal_t,65,-41679.9775379366,0.9999999999999999,-3.8314926614038995
8,1,3,0.000446682553929073,202.841336721826,0.201608513807505,na,0.0250851149443094,1,sel,20904.9887689683,neu_e_1,1000,True,snp_continuous_1class_equal_t,65,-41679.9775379366,0.9999999999999999,-3.8314926614038995
339,1,3,0.000452938284304025,na,na,0,2.22044604925031e-18,1,neu,20908.9843505484,sel_e_3,1000,True,snp_discrete_3class_equal_t,70,-41677.9687010968,-0.01926837882106607,-5.840329501203087
339,1,3,4.24348400132138e-05,na,na,-499.425796314314,4.44089209850063e-18,1,sel,20908.9843505484,sel_e_3,1000,True,snp_discrete_3class_equal_t,70,-41677.9687010968,-0.01926837882106607,-5.840329501203087
339,1,3,0.000225506889664614,na,na,-0.246104977792122,0.0075400384876435,2,sel,20908.9843505484,sel_e_3,1000,True,snp_discrete_3class_equal_t,70,-41677.9687010968,-0.01926837882106607,-5.840329501203087
339,1,3,0.000184996554626196,na,na,-41.6268900437991,0,3,sel,20908.9843505484,sel_e_3,1000,True,snp_discrete_3class_equal_t,70,-41677.9687010968,-0.01926837882106607,-5.840329501203087
294,1,3,0.000481717047999241,na,na,0,0.0599716226501541,1,neu,20909.0781446061,sel_e_2|sel_e_4|r_61,1000,True,snp_discrete_4class_equal_t,73,-41672.1562892122,0.25468051565182726,-11.652741385798436
294,1,3,6.69608809273394e-05,na,na,-364.366277587019,2.22044604925031e-18,1,sel,20909.0781446061,sel_e_2|sel_e_4|r_61,1000,True,snp_discrete_4class_equal_t,73,-41672.1562892122,0.25468051565182726,-11.652741385798436
294,1,3,0.000179204689618957,na,na,-40.3537453743775,0,2,sel,20909.0781446061,sel_e_2|sel_e_4|r_61,1000,True,snp_discrete_4class_equal_t,73,-41672.1562892122,0.25468051565182726,-11.652741385798436
294,1,3,0.00020729141223151,na,na,-0.559530466013633,6.66133814775094e-18,3,sel,20909.0781446061,sel_e_2|sel_e_4|r_61,1000,True,snp_discrete_4class_equal_t,73,-41672.1562892122,0.25468051565182726,-11.652741385798436
294,1,3,2.8260065221434e-05,na,na,2.95150524550013,0.5,4,sel,20909.0781446061,sel_e_2|sel_e_4|r_61,1000,True,snp_discrete_4class_equal_t,73,-41672.1562892122,0.25468051565182726,-11.652741385798436
310,1,3,0.000417814404287185,na,na,0,0,1,neu,20855.5440248233,neu_e_1,1000,True,snp_discrete_1class_equal_t,64,-41583.0880496466,0.6006600858969658,-100.72098095140245
310,1,3,0.000417814404287185,na,na,-2.87377817690542,0.0782934655029398,1,sel,20855.5440248233,neu_e_1,1000,True,snp_discrete_1class_equal_t,64,-41583.0880496466,0.6006600858969658,-100.72098095140245
