run,imp,exit_code,theta,scale,shape,gamma,e,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,alpha,delta_AIC
947,1,3,0.00046847767099594,na,na,0,0.0732030243087236,1,neu,426880.874928565,sel_e_1|sel_e_3|r_61,1000,True,snp_discrete_3class_equal_t,70,-853621.74985713,0.5488310391859783,0.0
947,1,3,3.03139227373688e-05,na,na,7.1130817196638,0.5,1,sel,426880.874928565,sel_e_1|sel_e_3|r_61,1000,True,snp_discrete_3class_equal_t,70,-853621.74985713,0.5488310391859783,0.0
947,1,3,0.000209371359149381,na,na,-1.24217580751615,2.22044604925031e-18,2,sel,426880.874928565,sel_e_1|sel_e_3|r_61,1000,True,snp_discrete_3class_equal_t,70,-853621.74985713,0.5488310391859783,0.0
947,1,3,0.00022879238910919,na,na,-144.257692347449,0,3,sel,426880.874928565,sel_e_1|sel_e_3|r_61,1000,True,snp_discrete_3class_equal_t,70,-853621.74985713,0.5488310391859783,0.0
518,1,3,0.000433085159388199,na,na,0,0,1,neu,426877.809422455,neu_e_1|sel_e_1,1000,True,snp_discrete_2class_equal_t,67,-853621.61884491,0.20379303221721715,-0.13101222005207092
518,1,3,0.000206947473597563,na,na,-125.019198794716,0,1,sel,426877.809422455,neu_e_1|sel_e_1,1000,True,snp_discrete_2class_equal_t,67,-853621.61884491,0.20379303221721715,-0.13101222005207092
518,1,3,0.000226137685790636,na,na,-0.521661500444479,0.0119517691678683,2,sel,426877.809422455,neu_e_1|sel_e_1,1000,True,snp_discrete_2class_equal_t,67,-853621.61884491,0.20379303221721715,-0.13101222005207092
592,1,3,0.000469808337544334,na,na,0,0.0730095308390427,1,neu,426881.067019752,sel_e_2|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-853616.134039504,0.5333844601882062,-5.615817626006901
592,1,3,2.17353566397417e-05,na,na,-22.2351489111329,4.44089209850063e-18,1,sel,426881.067019752,sel_e_2|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-853616.134039504,0.5333844601882062,-5.615817626006901
592,1,3,3.02909019857866e-05,na,na,6.69367427236654,0.5,2,sel,426881.067019752,sel_e_2|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-853616.134039504,0.5333844601882062,-5.615817626006901
592,1,3,0.00020544133131102,na,na,-1.14935013088133,0,3,sel,426881.067019752,sel_e_2|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-853616.134039504,0.5333844601882062,-5.615817626006901
592,1,3,0.000212340747607785,na,na,-172.408763241929,4.44089209850063e-18,4,sel,426881.067019752,sel_e_2|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-853616.134039504,0.5333844601882062,-5.615817626006901
501,1,3,0.000389120289611829,na,na,0,0,1,neu,426802.727964347,neu_e_1,1000,True,snp_continuous_1class_equal_t,65,-853475.455928694,1.0,-146.29392843600363
501,1,3,0.000389120289611829,226.298801280082,0.203475920878481,na,0.0278256215796807,1,sel,426802.727964347,neu_e_1,1000,True,snp_continuous_1class_equal_t,65,-853475.455928694,1.0,-146.29392843600363
387,1,3,0.000328210708140768,na,na,0,0,1,neu,426178.603787989,neu_e_1,1000,True,snp_discrete_1class_equal_t,64,-852229.207575978,0.5869515061493252,-1392.542281151982
387,1,3,0.000328210708140768,na,na,-2.61568228904562,0.0545539886154327,1,sel,426178.603787989,neu_e_1,1000,True,snp_discrete_1class_equal_t,64,-852229.207575978,0.5869515061493252,-1392.542281151982
