run,imp,exit_code,theta,scale,shape,gamma,e,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,alpha,delta_AIC
101,1,3,0.000469339606296168,na,na,0,0.0675412002487894,1,neu,7394609.26400501,,1000,True,snp_continuous_1class_equal_t,65,-14789088.52801002,0.9969385152550883,0.0
101,1,3,0.000469339606296168,570.629851091544,0.014332443131201,na,0.0702992937150801,1,sel,7394609.26400501,,1000,True,snp_continuous_1class_equal_t,65,-14789088.52801002,0.9969385152550883,0.0
329,1,3,0.000446449184236941,na,na,0,0.0341913843074232,1,neu,7394606.73338294,,1000,True,snp_discrete_1class_equal_t,64,-14789085.46676588,-0.10980407060462348,-3.0612441394478083
329,1,3,0.000446449184236941,na,na,-0.356782015912131,0.0461141011957059,1,sel,7394606.73338294,,1000,True,snp_discrete_1class_equal_t,64,-14789085.46676588,-0.10980407060462348,-3.0612441394478083
506,1,3,0.000465836981923163,na,na,0,0.0614883434368277,1,neu,7394609.26061741,,1000,True,snp_discrete_2class_equal_t,67,-14789084.52123482,-0.17779220270063084,-4.006775200366974
506,1,3,2.03893507252594e-05,na,na,-71.3940124168385,0.124095391460229,1,sel,7394609.26061741,,1000,True,snp_discrete_2class_equal_t,67,-14789084.52123482,-0.17779220270063084,-4.006775200366974
506,1,3,0.000445447631197903,na,na,-0.156899060045735,0.0638225944143018,2,sel,7394609.26061741,,1000,True,snp_discrete_2class_equal_t,67,-14789084.52123482,-0.17779220270063084,-4.006775200366974
161,1,3,0.000470514788040247,na,na,0,0.0716715337024525,1,neu,7394609.29485347,,1000,True,snp_discrete_3class_equal_t,70,-14789078.58970694,-0.168064504172463,-9.938303079456091
161,1,3,1.83787847207915e-05,na,na,-89.2196951399455,1.54679763171295e-05,1,sel,7394609.29485347,,1000,True,snp_discrete_3class_equal_t,70,-14789078.58970694,-0.168064504172463,-9.938303079456091
161,1,3,5.06913264015426e-12,na,na,-104.28682810722,0.200881383442471,2,sel,7394609.29485347,,1000,True,snp_discrete_3class_equal_t,70,-14789078.58970694,-0.168064504172463,-9.938303079456091
161,1,3,0.000452135998250323,na,na,-0.182583295112545,0.075196202125709,3,sel,7394609.29485347,,1000,True,snp_discrete_3class_equal_t,70,-14789078.58970694,-0.168064504172463,-9.938303079456091
42,1,3,0.000468545027237566,na,na,0,0.0680787859860995,1,neu,7394609.29054704,,1000,True,snp_discrete_4class_equal_t,73,-14789072.58109408,-0.17082202415697173,-15.946915939450264
42,1,3,0.000449725309984926,na,na,-0.175769005780896,0.0712754097291964,1,sel,7394609.29054704,,1000,True,snp_discrete_4class_equal_t,73,-14789072.58109408,-0.17082202415697173,-15.946915939450264
42,1,3,1.88197161050418e-05,na,na,-79.0921392361177,0.0480726182905941,2,sel,7394609.29054704,,1000,True,snp_discrete_4class_equal_t,73,-14789072.58109408,-0.17082202415697173,-15.946915939450264
42,1,3,7.31930542744551e-13,na,na,-395.740318158482,0.110096416436619,3,sel,7394609.29054704,,1000,True,snp_discrete_4class_equal_t,73,-14789072.58109408,-0.17082202415697173,-15.946915939450264
42,1,3,4.15667135732651e-13,na,na,-102.866934386211,0.362467539353855,4,sel,7394609.29054704,,1000,True,snp_discrete_4class_equal_t,73,-14789072.58109408,-0.17082202415697173,-15.946915939450264
