run,imp,exit_code,theta,scale,shape,gamma,e,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,alpha,delta_AIC
704,1,3,0.000495192551803772,na,na,0,0.0714706343610153,1,neu,550201.356452957,r_61,1000,True,snp_continuous_1class_equal_t,65,-1100272.712905914,-0.09029238492953202,0.0
704,1,3,0.000495192551803772,4.58140201003209,0.14972189088989,na,0.0662112354443881,1,sel,550201.356452957,r_61,1000,True,snp_continuous_1class_equal_t,65,-1100272.712905914,-0.09029238492953202,0.0
792,1,3,0.000493750550777775,na,na,0,0.0693637961608204,1,neu,550200.067112154,r_61,1000,True,snp_discrete_1class_equal_t,64,-1100272.134224308,-0.22287545178518808,-0.5786816061008722
792,1,3,0.000493750550777775,na,na,-0.476582513631973,0.066702174760995,1,sel,550200.067112154,r_61,1000,True,snp_discrete_1class_equal_t,64,-1100272.134224308,-0.22287545178518808,-0.5786816061008722
824,1,3,0.000495109340624892,na,na,0,0.0725260638621894,1,neu,550201.826460808,r_61,1000,True,snp_discrete_2class_equal_t,67,-1100269.652921616,0.7491136341629795,-3.0599842979572713
824,1,3,0.000250399680481893,na,na,-1.9825247742266,2.22044604925031e-18,1,sel,550201.826460808,r_61,1000,True,snp_discrete_2class_equal_t,67,-1100269.652921616,0.7491136341629795,-3.0599842979572713
824,1,3,0.000244709660142999,na,na,0.825946638914332,0.131771264194477,2,sel,550201.826460808,r_61,1000,True,snp_discrete_2class_equal_t,67,-1100269.652921616,0.7491136341629795,-3.0599842979572713
90,1,3,0.000462523162698184,na,na,0,0.0264105786715555,1,neu,550204.084971176,sel_gamma_1|sel_e_1|sel_e_2|sel_e_3,1000,False,snp_discrete_3class_equal_t,70,-1100268.169942352,-0.28218765924662664,-4.542963562067598
90,1,3,8.07523638552676e-06,na,na,100,0.5,1,sel,550204.084971176,sel_gamma_1|sel_e_1|sel_e_2|sel_e_3,1000,False,snp_discrete_3class_equal_t,70,-1100268.169942352,-0.28218765924662664,-4.542963562067598
90,1,3,6.81721142953854e-05,na,na,-7.17068621171973,0,2,sel,550204.084971176,sel_gamma_1|sel_e_1|sel_e_2|sel_e_3,1000,False,snp_discrete_3class_equal_t,70,-1100268.169942352,-0.28218765924662664,-4.542963562067598
90,1,3,0.000386275812017272,na,na,-0.0422980378585868,0,3,sel,550204.084971176,sel_gamma_1|sel_e_1|sel_e_2|sel_e_3,1000,False,snp_discrete_3class_equal_t,70,-1100268.169942352,-0.28218765924662664,-4.542963562067598
529,1,3,0.000463468153718215,na,na,0,0.0288891241051427,1,neu,550204.182154836,sel_gamma_1|sel_e_1|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-1100262.364309672,-0.24784688792582615,-10.348596242023632
529,1,3,9.34507730078026e-06,na,na,100,0.5,1,sel,550204.182154836,sel_gamma_1|sel_e_1|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-1100262.364309672,-0.24784688792582615,-10.348596242023632
529,1,3,5.20447760223448e-05,na,na,-10.4069275779142,4.44089209850063e-18,2,sel,550204.182154836,sel_gamma_1|sel_e_1|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-1100262.364309672,-0.24784688792582615,-10.348596242023632
529,1,3,0.000402078300307696,na,na,-0.168584466015893,0,3,sel,550204.182154836,sel_gamma_1|sel_e_1|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-1100262.364309672,-0.24784688792582615,-10.348596242023632
529,1,3,8.73933871861521e-14,na,na,-364.914065682448,0.00838826166781316,4,sel,550204.182154836,sel_gamma_1|sel_e_1|sel_e_3,1000,True,snp_discrete_4class_equal_t,73,-1100262.364309672,-0.24784688792582615,-10.348596242023632
