bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
0	414,176,114,90,61,64,64,46,45,42,29,26,31,36,28,26,37,20,28,18,18,19,11,17,19,12,14,25,16,20,14,10,14,5,16,19,17,10,9,8,14,11,12,12,14,11,15,10,11,19,13,17,17,11,15,21,23,30,36	894959	331,135,101,75,63,53,42,24,29,36,29,23,19,23,18,20,16,18,28,16,15,12,12,9,7,13,5,10,15,8,10,11,10,15,10,11,6,9,6,6,10,8,11,8,7,10,6,6,11,11,3,17,6,9,10,6,8,14,21	684324
1	452,177,119,94,61,67,69,53,40,47,26,25,28,38,30,22,43,21,24,24,24,17,11,21,20,9,11,19,13,21,12,15,14,6,14,18,9,10,8,7,11,12,8,9,17,8,21,10,7,12,18,18,8,9,15,26,25,21,25	883920	279,105,108,77,75,50,33,19,30,32,29,28,18,24,23,16,10,19,35,20,16,17,14,9,9,13,6,9,9,8,6,9,15,8,10,16,2,9,5,8,14,8,8,6,5,8,4,13,12,16,1,15,8,9,8,11,4,21,17	675906
2	392,188,104,86,65,52,62,48,49,50,20,25,39,30,25,26,35,18,33,23,23,13,16,15,21,9,20,30,10,15,17,10,13,6,15,24,28,16,13,5,16,8,13,6,19,8,16,9,11,7,9,15,13,12,14,30,23,40,36	912135	303,147,99,74,55,47,47,18,25,38,37,30,24,21,13,27,13,12,21,16,16,10,19,12,5,11,5,9,14,13,7,10,8,14,9,9,10,9,9,6,11,8,13,8,10,11,4,6,8,9,8,21,5,7,9,5,9,16,19	683693
3	405,187,110,100,58,52,55,43,39,48,33,23,29,35,28,26,32,18,24,23,17,14,9,19,15,18,13,26,15,11,14,9,15,9,15,23,18,14,10,11,12,11,11,12,10,11,16,9,8,29,17,17,19,16,14,16,23,33,31	890812	356,112,93,82,54,61,52,28,32,19,28,26,19,21,17,20,15,19,36,21,18,15,10,12,4,15,9,12,17,7,14,15,9,13,14,17,9,13,3,5,9,14,4,9,9,14,6,8,5,11,2,14,7,9,16,4,5,6,18	688126
4	474,175,123,99,61,67,63,43,42,41,31,25,43,36,26,31,42,29,36,14,16,23,14,22,20,16,21,27,15,16,13,7,17,7,11,28,17,12,14,8,12,10,8,15,12,17,9,8,14,18,18,18,18,11,16,24,30,47,37	914769	350,136,94,62,67,55,33,31,32,44,26,19,15,19,12,21,15,21,28,15,12,10,9,6,10,10,7,11,12,10,8,7,9,15,12,9,9,16,13,6,8,8,7,2,7,13,3,8,10,12,1,14,6,6,14,4,6,8,17	683249
5	448,174,118,101,72,63,68,46,52,42,26,28,33,30,26,32,40,26,23,15,15,20,9,17,22,8,18,23,11,16,16,12,9,5,15,10,19,6,10,7,19,12,12,17,13,6,18,11,11,25,16,16,19,9,18,28,24,29,42	923824	361,126,114,101,65,53,48,34,42,39,34,28,18,34,18,25,11,16,22,13,9,9,7,8,4,13,2,13,13,12,11,12,11,28,6,6,8,10,4,7,8,8,11,4,5,12,7,7,12,12,3,18,4,5,15,12,9,10,28	719499
6	396,177,111,90,72,61,72,42,53,52,21,34,30,39,33,24,45,19,28,12,16,22,10,11,17,13,17,26,14,22,10,9,16,4,20,21,24,9,8,6,20,9,14,10,17,10,11,9,7,21,10,17,18,15,8,18,20,24,41	899119	311,137,87,59,54,44,40,25,32,40,30,22,18,13,23,24,13,20,47,25,18,16,8,5,4,13,8,13,21,11,12,8,9,15,9,16,8,16,3,9,10,8,7,9,4,13,4,4,7,10,4,9,6,9,7,4,6,23,21	683946
7	411,177,123,97,66,65,77,53,45,38,26,28,33,39,33,27,44,16,37,18,20,19,12,13,22,7,12,19,13,17,14,11,17,8,16,17,19,8,9,5,14,25,19,13,22,14,13,13,11,13,18,23,20,10,20,15,18,28,30	879491	307,99,94,66,66,50,47,20,28,37,38,25,19,14,15,16,16,20,25,22,15,14,12,6,7,12,7,12,14,6,7,6,8,15,8,9,5,10,4,3,8,4,8,8,7,17,5,10,9,19,2,13,5,10,10,3,4,20,17	660249
8	420,187,125,103,65,60,68,48,48,30,20,28,23,29,23,17,25,20,24,18,24,20,9,20,21,11,12,16,11,18,10,8,10,5,20,22,13,7,7,9,20,11,12,8,14,11,20,7,8,25,15,20,15,9,16,23,20,24,37	881869	304,132,97,68,52,50,34,28,25,35,27,23,19,29,18,18,9,17,28,21,15,15,12,6,13,7,3,4,16,7,11,4,6,12,8,16,7,6,8,6,11,9,7,5,8,7,6,3,15,12,4,13,4,10,14,9,9,17,22	676457
9	429,162,105,99,54,65,67,41,35,29,30,28,33,42,31,36,43,20,29,25,20,24,15,16,17,14,10,15,11,20,13,13,11,8,9,24,17,9,6,7,13,15,9,12,12,5,13,9,7,23,16,20,15,10,11,19,29,26,29	887100	330,143,87,68,59,52,54,30,27,37,27,24,14,21,24,24,10,17,39,9,17,6,13,1,3,14,1,8,15,11,4,14,9,13,12,10,8,4,2,9,10,7,8,11,9,12,2,9,11,10,0,21,5,9,10,7,8,12,17	695550
10	398,193,123,98,69,56,68,39,54,44,30,26,33,44,28,25,37,22,38,13,16,26,14,15,20,9,13,32,20,20,13,8,15,6,16,20,22,11,12,9,13,15,12,17,17,7,20,8,11,15,13,21,17,9,11,17,20,33,42	937559	333,120,87,65,64,58,45,31,18,35,37,29,18,24,23,13,14,23,25,12,24,11,10,7,6,12,7,9,15,7,11,10,9,20,10,14,4,13,8,6,7,5,16,5,8,12,9,6,10,8,5,20,10,9,9,3,7,13,26	688510
