block,pairwise,salmon_branch,salmonb_branch
10qa-16qa_1,0.1593543,0.07371991,0.08563439
10qa-23_1,0.1498056,0.07023922,0.07956643
10qa-23_2,0.1579652,0.07091558,0.08704963
10qb-16qa_1,0.1483144,0.06830474,0.08000966
10qb-23_1,0.1326726,0.05835592,0.07431666
11qa-26_1,0.09772312,0.04535404,0.05236907
11qa-26_2,0.08107912,0.039456,0.04162312
11qa-26_3,0.06232451,0.02926455,0.03305996
12qb-22_1,0.1285681,0.05585276,0.07271533
12qb-22_2,0.1516372,0.07366719,0.07797002
12qb-22_5,0.1304144,0.05383714,0.07657725
13qa-15qb_1,0.1337891,0.05738849,0.07640057
13qa-15qb_2,0.1679918,0.090045,0.07794684
13qa-15qb_3a,0.1518011,0.07318902,0.07861208
13qa-15qb_3b,0.146845,0.07021358,0.07663146
13qa-15qb_3c,0.1522894,0.07999017,0.07229921
13qa-15qb_4b,0.1648054,0.07616967,0.08863576
13qa-15qb_4,0.1574626,0.07607645,0.0813862
13qa-15qb_5,0.1381268,0.06558062,0.07254623
14qb-27_2,0.1356557,0.06268993,0.07296579
14qb-27_3,0.1538323,0.06808962,0.08574268
14qb-27_4,0.1238882,0.05376261,0.07012556
15qa-24_1,0.1295427,0.0516407,0.07790205
15qa-24_2,0.1194244,0.05235851,0.06706592
16qb-17qa_1,0.07396755,0.03429507,0.03967248
18qa-19qb,0.1330524,0.05502613,0.07802628
19qa-19qb_1,0.1430366,0.06574265,0.07729395
19qa-29_1,0.1699071,0.06804275,0.1018644
19qa-29_2,0.1545449,0.07276204,0.08178282
19qb-19qa_x,0.1412645,0.05676396,0.08450053
19qb-28_1,0.1117463,0.04950278,0.06224351
19qb-28_2,0.1543808,0.07607091,0.07830986
19qb-28_x,0.1671343,0.08315572,0.08397862
19qb-29_1,0.1590447,0.07946283,0.07958183
19qb-29_2,0.138939,0.05868749,0.0802515
1p-9qa_1,0.1311689,0.0555486,0.07562032
1p-9qa_2a,0.1560917,0.07355783,0.0825339
1p-9qa_2b,0.1491381,0.06608714,0.08305094
1p-9qa_2c,0.1506124,0.06765143,0.08296096
1p-9qa_x,0.1785774,0.07888319,0.0996942
1qa-18qa_1,0.1425668,0.06724553,0.07532129
1qa-18qa_2,0.1515352,0.06495206,0.08658316
1qa-28_1a,0.1501184,0.06374827,0.08637009
1qa-28_1b,0.1457039,0.0736853,0.07201855
1qa-28_2,0.1513123,0.06593451,0.08537779
1qb-11qb_1,0.1474385,0.06404025,0.08339823
1qb-11qb_2,0.1300488,0.05424444,0.07580438
1qb-13qb_1b,0.1523427,0.06628593,0.08605674
1qb-13qb_1c,0.1635857,0.06969571,0.09388995
1qb-13qb_1d,0.1491604,0.06672425,0.08243612
1qb-13qb_2a,0.1453333,0.06548764,0.07984562
1qb-13qb_2b,0.1344703,0.05498392,0.07948636
20qa-24_1,0.1701374,0.08688897,0.08324844
20qa-24_2,0.1396282,0.06714425,0.0724839
20qa-24_3,0.1594108,0.07651714,0.08289368
20qa-24_4,0.1540481,0.07581095,0.07823711
21-25_1,0.1448868,0.06350457,0.08138219
21-25_2,0.1507961,0.0710554,0.07974072
21-25_3,0.1575357,0.07467839,0.0828573
21-25_4,0.1367922,0.05972455,0.07706765
2p-5q_1,0.07069659,0.03328278,0.03741381
2q-12qa_1,0.07455161,0.03421309,0.04033852
3p-13qa_1,0.1294308,0.05829804,0.0711328
3p-14qa_1a,0.1328377,0.06006672,0.07277103
3p-14qa_1b,0.1514683,0.06926401,0.08220428
3p-23_1,0.1057254,0.0452912,0.06043416
3p-23_2,0.09730039,0.0450218,0.05227859
3p-5q_1,0.1431241,0.06102289,0.0821012
3q-6p_1,0.06632818,0.03063997,0.0356882
4p-10qb_x,0.1014617,0.04350178,0.0579599
4p-8q_1,0.05935412,0.0266436,0.03271051
4p-8q_2,0.09972289,0.04532797,0.05439491
4q-10qb_1b,0.162479,0.07822616,0.08425289
4q-10qb_1,0.1247187,0.05563112,0.06908757
4q-11qb_1b,0.1144873,0.04683592,0.0676514
4q-11qb_1,0.1481873,0.06671761,0.08146972
4q-13qb_1,0.1468197,0.06626362,0.08055609
5p-9qb_1,0.128017,0.05645605,0.07156091
5p-9qb_2,0.1557566,0.07401743,0.08173921
6q-15qa_1,0.1526327,0.07489646,0.07773622
6q-15qa_2,0.142642,0.05994312,0.08269888
6q-15qa_3,0.1597071,0.07964591,0.08006118
6q-15qa_4,0.1447413,0.06267378,0.08206747
7p-18qb_1a,0.1158321,0.04882527,0.06700684
7p-18qb_1b,0.1701559,0.07871759,0.09143833
7p-18qb_2,0.1562183,0.07263819,0.08358009
7p-18qb_3,0.1591994,0.07171355,0.08748583
7q-17qb_1,0.07503362,0.03440962,0.040624
9qa-11qa,0.1306046,0.05118461,0.07942002
9qc-20qa,0.106695,0.04620151,0.06049348
9qc-20qb_1,0.1087124,0.05066492,0.0580475
