bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
0	852,336,252,194,151,141,122,98,101,89,77,59,79,77,69,54,49,61,53,36,38,37,48,29,38,48,36,23,33,34,36,27,22,31,22,25,25,26,33,23,27,40,20,25,30,29,18,32,24,36,32,37,30,27,41,31,24,57,44,59,54	1875189	214,69,47,28,19,16,15,17,10,10,9,12,13,8,6,9,4,5,6,4,6,4,3,4,4,8,3,0,0,4,7,9,3,2,2,6,2,1,2,0,3,2,4,1,1,1,3,1,0,1,2,3,0,6,8,6,3,2,7,7,8	818301
1	872,328,237,187,139,155,117,95,89,101,79,59,82,76,83,56,51,59,69,34,47,36,51,23,39,51,30,21,39,30,40,26,26,37,17,33,27,30,34,24,28,41,21,17,26,38,16,39,21,34,26,32,28,23,39,28,31,54,41,65,51	1889240	192,90,43,32,21,17,27,19,13,13,11,21,15,10,11,12,2,6,4,1,7,5,1,3,3,11,6,0,0,2,9,11,2,1,3,8,2,2,0,0,3,0,2,1,0,0,2,1,0,1,1,3,0,7,7,14,3,1,12,3,11	819725
2	788,316,219,167,151,143,117,109,84,79,69,66,78,67,55,45,49,54,41,33,45,33,43,22,37,33,35,19,34,34,40,22,15,29,18,30,23,24,37,24,20,24,15,27,30,19,19,35,25,35,39,35,28,28,42,31,21,44,32,54,53	1788670	190,62,49,26,23,14,11,19,10,11,7,8,23,9,8,8,5,12,3,3,5,2,3,5,3,14,5,0,0,2,9,5,13,3,0,7,3,4,0,0,2,1,1,1,2,0,1,1,0,2,1,3,0,7,3,7,1,6,6,5,7	792897
3	783,373,242,204,167,133,127,95,102,85,80,44,93,75,69,52,47,51,52,27,34,39,52,19,33,42,34,11,23,26,35,18,24,23,19,24,22,19,40,24,17,40,16,33,28,28,15,29,21,42,30,38,33,28,43,35,24,45,43,47,41	1843865	209,56,59,29,19,19,10,17,13,9,7,6,15,6,3,13,2,6,2,4,9,5,3,3,4,7,2,0,0,12,4,11,4,1,1,8,0,1,3,0,3,3,3,2,2,1,3,1,0,2,1,2,0,4,6,8,2,1,6,7,12	811572
4	849,352,253,189,144,119,134,83,100,91,98,72,67,83,75,60,62,54,43,48,42,44,47,27,43,56,30,23,36,32,40,25,22,24,18,23,18,23,33,33,28,32,22,31,29,35,19,24,27,35,30,41,39,22,42,34,19,60,57,60,68	1873458	222,72,48,24,24,14,20,14,10,7,13,9,10,12,5,5,4,4,4,2,4,4,4,5,6,5,3,0,0,4,3,5,3,0,1,11,2,1,4,0,5,4,4,0,0,3,4,0,0,1,4,0,0,5,11,5,2,5,9,5,6	828759
5	797,373,232,213,158,133,120,85,86,88,69,59,89,68,64,60,64,45,42,37,30,30,50,21,40,46,42,17,38,28,28,22,24,36,22,31,24,33,39,21,30,35,16,21,35,34,17,39,19,31,37,21,27,25,35,27,21,45,43,79,54	1885037	205,53,49,25,14,19,11,14,11,6,13,9,12,10,7,9,1,7,5,4,9,3,2,3,3,6,2,0,0,3,2,8,1,3,2,10,0,0,4,0,3,3,8,1,2,0,3,2,0,0,1,1,0,7,6,11,3,0,4,5,8	829672
6	873,350,252,203,144,139,107,109,85,92,73,55,87,79,65,62,53,75,53,39,37,43,57,30,29,41,45,29,34,42,45,24,23,44,29,30,26,34,38,25,27,34,22,23,26,28,16,34,28,40,33,30,29,24,51,38,25,72,45,52,53	1906335	212,82,51,29,26,13,11,21,13,8,4,11,10,8,7,7,3,6,6,4,1,6,3,5,1,8,4,0,0,8,6,4,3,0,3,4,2,1,2,0,1,2,5,2,2,1,6,2,0,1,0,3,0,8,7,0,3,4,5,9,6	822301
7	847,352,229,200,139,157,106,89,104,88,84,71,82,82,67,52,54,60,57,56,35,30,37,32,47,61,43,27,26,40,42,33,23,36,18,24,28,32,30,18,26,33,19,29,38,26,19,26,22,25,36,41,29,30,31,31,26,67,45,73,53	1885044	251,63,45,26,16,13,13,17,7,6,1,10,12,7,4,2,4,1,8,4,10,3,3,4,7,3,4,0,0,5,7,7,3,2,0,7,1,0,2,0,3,1,8,2,0,0,1,0,0,1,1,2,0,6,4,8,4,1,12,7,13	807948
8	846,344,249,217,160,148,113,98,89,78,70,61,104,78,63,46,47,64,51,32,36,35,46,28,40,49,30,17,23,25,47,23,27,31,19,31,17,36,26,29,31,34,20,20,47,21,11,26,19,45,31,30,24,22,39,30,30,48,39,55,55	1866554	216,65,40,26,21,11,11,18,7,6,7,15,11,7,6,10,2,4,6,8,6,2,4,3,4,8,1,0,0,5,3,6,0,0,1,8,2,0,0,0,4,1,4,0,0,1,2,1,0,0,2,1,0,6,14,9,3,0,12,3,17	812191
9	873,322,262,210,177,133,137,88,97,89,74,62,69,102,62,52,59,61,63,36,36,36,35,35,30,45,31,26,35,35,35,27,20,43,19,26,30,20,28,22,29,46,20,33,24,22,15,36,22,21,32,35,46,23,33,44,25,59,50,50,57	1876263	221,77,44,27,13,15,18,21,6,9,11,8,15,4,4,9,7,3,2,3,6,3,1,6,3,12,6,0,0,4,3,7,0,1,3,6,4,0,2,0,1,3,6,3,4,1,2,0,0,0,1,8,0,8,10,7,1,1,12,10,8	833051
10	754,339,224,175,134,129,117,77,114,96,84,76,79,86,63,53,43,66,45,41,42,34,42,29,43,47,28,21,24,41,34,19,20,33,19,24,27,24,30,19,26,50,21,31,32,37,16,34,21,39,29,39,35,34,42,28,25,76,46,55,47	1830510	204,72,35,21,17,22,12,17,9,5,13,7,16,6,9,9,4,6,3,4,2,1,0,3,6,8,4,0,0,3,6,9,2,2,4,4,3,1,1,0,2,0,7,1,0,1,0,1,0,2,4,5,0,4,6,8,4,3,10,4,6	822742
11	840,334,260,166,150,139,124,91,102,88,76,55,75,72,72,53,44,61,63,42,43,24,46,27,35,51,37,12,35,39,33,24,21,28,21,26,26,29,25,26,22,51,23,22,27,21,23,29,21,31,35,36,32,27,50,33,31,47,46,66,44	1853635	203,59,56,28,19,15,15,15,7,5,13,11,14,12,4,9,4,3,8,2,3,4,3,4,4,4,5,0,0,1,9,13,1,0,5,8,1,3,1,0,3,0,3,1,0,2,3,0,0,1,1,1,0,3,6,10,2,1,7,13,8	809518
12	831,342,258,165,139,128,121,76,96,91,63,61,86,65,75,57,52,57,49,32,47,31,45,23,46,45,43,17,33,40,40,25,18,38,18,22,26,36,25,26,25,29,17,31,26,19,12,29,32,40,23,47,26,22,39,36,16,45,39,59,56	1888233	222,80,60,29,15,16,9,14,13,8,16,11,11,4,13,10,6,3,10,4,8,4,3,3,2,6,1,0,0,1,9,15,0,4,6,5,2,0,3,0,5,1,3,0,1,2,2,0,0,0,2,3,0,10,7,10,1,1,8,4,4	826299
13	880,335,249,198,162,142,113,100,108,94,76,40,75,77,68,48,47,62,44,38,36,31,45,31,37,39,36,21,33,27,31,33,28,25,10,19,17,30,37,19,32,28,22,25,30,30,17,41,21,34,36,32,27,35,31,36,21,61,36,65,62	1878766	208,69,35,28,19,10,17,15,12,7,7,13,15,6,7,12,6,4,3,4,3,5,6,4,6,9,2,0,0,7,11,17,0,4,2,12,2,1,2,0,4,0,3,2,0,1,2,3,0,0,1,4,0,6,8,3,3,0,9,8,10	824844
14	898,332,289,215,155,155,144,100,109,77,74,55,79,61,80,56,53,66,68,38,42,43,57,32,37,46,39,23,30,38,37,36,18,33,26,19,23,27,33,15,17,44,15,23,27,29,20,34,29,36,30,36,28,32,37,39,21,63,41,60,54	1938888	210,74,58,33,20,14,11,25,10,14,11,11,15,8,5,17,2,6,4,5,8,7,3,3,3,12,4,0,0,4,8,14,2,4,2,8,3,1,4,0,8,2,3,1,1,0,2,0,0,0,3,3,0,7,11,8,3,1,4,6,7	845489
15	798,358,218,197,142,151,116,115,103,93,81,59,74,76,64,54,37,70,52,27,31,41,50,37,29,48,46,28,27,27,39,21,27,33,23,30,23,26,27,13,32,31,13,19,26,28,16,25,24,28,46,37,26,21,41,35,33,57,37,57,64	1870956	260,71,46,26,18,16,15,23,11,13,8,10,10,4,8,9,1,6,4,4,5,6,1,3,6,3,2,0,0,3,3,10,0,2,3,4,4,1,1,0,1,2,4,1,1,2,2,0,0,1,2,5,0,8,8,10,1,0,6,11,6	817951
16	873,316,207,176,149,163,114,106,111,85,74,61,68,67,60,50,36,59,52,28,28,26,55,25,39,45,31,21,35,28,45,24,24,25,18,24,18,21,44,17,38,31,17,26,31,32,19,26,19,35,24,32,26,33,38,25,17,63,31,49,50	1833307	221,68,48,28,19,13,14,13,9,11,16,13,12,11,4,9,3,3,4,3,7,4,3,5,4,7,4,0,0,3,9,10,3,4,2,7,4,1,2,0,8,4,2,1,3,1,3,1,0,1,1,5,0,3,8,13,0,2,15,5,9	820460
17	877,328,247,209,142,137,111,99,86,93,70,56,77,68,61,50,62,69,64,31,36,42,56,23,37,58,42,21,28,41,26,26,22,34,25,23,18,26,40,20,30,42,24,19,35,25,21,27,29,49,40,35,24,28,45,28,23,65,51,55,53	1925813	199,67,58,26,24,22,19,21,3,19,8,10,13,10,7,10,3,3,8,8,5,2,4,5,5,7,4,0,0,5,5,7,1,0,1,10,1,0,5,0,2,1,3,1,0,2,1,1,0,2,3,2,0,3,5,5,4,2,3,2,13	820902
