bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
0	837,333,244,193,147,138,120,95,99,87,76,58,77,74,67,51,48,61,52,36,37,37,47,29,38,48,34,23,32,32,36,27,22,30,22,24,25,26,33,23,27,39,20,25,30,28,18,32,24,35,32,37,29,26,40,28,24,57,44,55,54	1846182	419,143,99,68,46,54,40,34,27,22,21,18,31,25,17,23,14,13,18,18,15,10,13,9,12,15,10,4,8,12,16,14,12,8,7,12,6,7,10,7,9,5,9,5,5,6,14,10,5,8,4,12,6,15,11,10,7,16,16,17,17	1233156
1	878,352,256,191,146,129,124,86,95,101,77,62,81,65,63,51,59,56,42,24,28,36,40,31,37,56,30,23,36,41,31,28,25,22,22,22,27,28,32,30,22,43,26,20,24,28,24,31,24,29,36,37,25,30,35,24,22,59,47,61,52	1858829	455,158,91,63,49,62,43,31,34,35,20,17,17,21,12,27,22,18,17,11,10,16,16,11,13,7,8,1,10,11,19,15,14,10,11,14,6,5,11,11,9,5,11,4,9,5,8,10,5,11,3,9,6,10,12,5,11,14,14,30,19	1251553
2	825,330,253,177,143,144,124,99,95,91,70,59,53,73,58,52,52,63,47,42,41,42,48,26,44,42,31,7,37,33,48,33,24,34,20,26,26,35,26,28,33,44,20,18,27,26,18,28,27,30,29,40,24,25,35,29,27,54,57,66,62	1882914	434,137,109,69,48,55,43,27,26,29,21,22,24,24,14,24,19,16,10,20,18,11,16,6,13,12,9,4,5,10,15,9,13,6,7,5,3,7,12,6,12,10,12,8,5,4,6,13,3,7,2,13,5,15,4,9,8,15,23,18,11	1227750
3	865,351,262,202,144,150,124,104,105,79,73,56,71,75,58,53,57,58,61,32,31,24,49,27,39,59,42,21,26,28,34,20,17,32,18,31,22,24,34,24,24,44,26,27,35,26,15,28,25,36,34,32,31,28,49,29,19,60,38,44,49	1851406	430,129,94,75,50,70,39,32,24,16,17,9,23,23,17,17,13,16,17,17,15,8,8,15,14,11,6,5,10,15,13,14,4,4,7,11,6,5,9,9,9,6,9,10,5,4,12,7,1,10,3,10,2,18,10,13,5,17,13,16,19	1228987
4	804,309,232,208,127,149,103,100,84,81,68,55,72,69,75,49,37,55,54,39,29,32,46,27,41,32,31,29,34,41,48,24,29,25,22,25,26,37,46,16,35,37,22,32,34,36,14,40,19,42,30,39,23,23,36,19,18,56,34,49,57	1780458	392,155,103,69,32,55,37,39,25,20,26,19,34,27,12,29,16,6,14,21,15,12,15,14,5,9,7,3,6,21,17,13,18,9,8,9,7,4,7,7,4,3,9,3,5,14,5,15,4,10,6,10,3,11,13,14,8,17,13,17,14	1225314
5	832,353,241,181,123,115,127,75,105,84,84,47,84,73,49,55,50,49,59,35,41,34,47,25,38,40,31,20,26,28,40,18,21,30,24,25,25,21,29,20,20,40,24,28,33,26,13,28,26,36,30,39,28,26,40,42,26,53,47,56,46	1831774	431,139,95,62,59,52,40,32,34,21,26,10,34,22,12,22,6,13,20,11,14,11,15,11,11,14,10,4,8,10,17,14,10,7,8,15,8,4,11,2,8,2,8,7,5,10,12,11,5,8,5,15,6,10,6,10,9,21,16,20,17	1227865
6	849,341,257,186,142,132,121,115,93,72,74,42,66,84,68,56,48,56,48,41,42,31,56,20,41,41,21,21,23,25,38,31,24,23,24,27,19,27,38,28,26,45,18,25,30,29,22,33,22,38,26,39,26,37,42,31,28,44,58,61,62	1793880	430,136,121,67,55,44,32,34,27,20,20,18,29,30,23,26,12,13,19,17,21,9,7,6,12,6,4,5,7,9,12,14,11,1,6,10,1,3,9,4,8,3,10,7,6,6,18,8,6,10,3,15,6,16,14,9,10,15,15,13,15	1206804
7	855,313,255,191,163,129,140,91,91,92,78,55,74,73,64,50,44,65,50,31,37,40,38,33,39,45,29,15,27,30,50,28,13,37,19,32,26,24,33,20,28,31,19,21,30,30,21,18,26,30,34,37,27,32,43,36,21,68,42,62,60	1846361	425,138,90,71,42,44,38,34,28,26,20,13,37,30,21,23,14,11,16,14,11,12,17,8,19,16,11,5,10,16,17,7,12,11,6,10,3,6,10,9,13,6,9,3,6,5,12,8,6,4,1,14,6,14,14,8,10,19,18,12,18	1233995
8	853,342,224,178,148,138,121,85,109,92,87,63,64,70,69,67,61,55,56,35,35,31,39,27,31,60,24,25,26,35,35,22,13,30,29,22,32,25,28,23,30,42,25,19,33,21,10,30,31,36,31,54,32,32,36,29,26,55,38,48,48	1861817	426,136,87,79,41,62,51,41,31,24,25,18,29,24,17,34,21,13,14,20,13,9,8,10,10,19,11,6,9,20,22,8,6,6,5,12,10,7,6,8,7,5,4,3,5,4,18,11,2,6,3,18,7,30,8,10,5,16,19,14,10	1234097
9	816,287,233,195,124,123,124,96,93,65,77,53,78,69,71,58,38,67,50,33,28,32,37,26,43,50,44,29,29,21,36,18,20,27,17,25,21,24,36,25,32,32,25,27,35,24,18,34,23,40,30,39,31,28,38,23,14,49,51,44,50	1764031	425,106,102,68,45,47,41,27,30,30,19,23,30,24,26,21,11,9,18,19,14,8,10,7,10,15,17,4,7,13,11,13,9,3,6,10,7,4,20,5,7,6,6,5,6,10,14,9,6,9,7,19,7,14,9,7,6,18,22,18,14	1207811
10	841,328,282,175,146,123,125,116,98,86,83,57,86,90,75,60,55,61,49,41,38,41,53,31,52,47,36,24,47,39,53,33,21,34,30,35,31,22,32,32,32,46,24,29,30,33,11,24,26,26,35,38,35,22,34,41,19,50,45,47,61	1866230	407,166,109,62,50,49,27,41,23,16,26,21,24,23,18,17,14,15,16,22,26,10,14,7,12,15,11,2,5,7,14,21,7,5,11,13,3,9,2,4,14,3,8,5,6,6,12,5,4,4,2,10,5,11,7,19,10,10,14,23,13	1232873
11	857,262,229,188,150,120,106,107,95,86,80,64,86,67,54,45,41,66,50,27,39,36,37,30,36,47,44,24,27,26,34,24,20,35,22,26,21,36,35,20,36,45,17,28,47,39,15,33,23,28,26,26,26,26,41,24,26,56,44,52,50	1772212	426,149,96,74,57,48,29,30,30,20,22,17,30,25,10,19,13,14,16,19,16,10,13,7,7,13,13,6,9,10,11,15,10,8,4,10,6,15,12,9,12,6,9,5,4,2,18,11,6,6,5,15,6,21,12,12,7,14,11,7,16	1229630
12	787,334,227,197,164,143,129,85,109,83,68,48,91,74,79,56,53,71,56,32,39,47,51,29,46,46,37,20,35,39,32,31,28,38,24,21,23,32,27,22,30,39,26,25,34,24,16,25,21,35,26,52,29,34,44,24,38,61,54,45,50	1840095	384,150,107,71,44,53,43,35,35,21,27,16,38,23,22,19,10,12,25,20,16,8,7,7,16,19,11,3,9,16,17,13,20,16,9,7,6,10,17,10,0,6,13,5,6,4,13,10,3,8,2,15,5,18,11,12,7,22,16,22,20	1230685
