bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
0	517,219,137,106,79,85,78,61,49,67,35,30,45,39,39,35,24,39,37,29,20,25,19,16,21,27,19,14,18,19,27,9,16,19,12,18,12,17,16,13,13,21,14,10,17,17,12,17,20,18,15,22,19,21,14,18,16,26,28,37,39	1089601	401,178,129,75,80,51,60,29,31,40,43,23,33,18,25,26,26,13,20,28,19,8,16,10,15,12,10,8,15,11,19,9,16,16,14,9,11,12,13,13,5,12,13,10,9,8,9,8,6,15,10,17,9,15,14,9,11,10,16,17,26	838156
1	520,204,140,109,79,90,77,50,45,65,38,29,30,45,32,37,25,43,26,31,22,22,17,18,22,24,15,17,13,18,27,7,19,15,14,16,18,14,10,8,19,21,14,13,10,18,14,13,21,18,14,16,21,16,18,16,20,27,31,29,38	1072217	406,178,121,66,83,46,58,29,28,37,41,12,25,17,22,19,30,20,14,30,21,5,17,11,13,8,9,5,18,12,20,18,14,14,15,8,11,16,9,15,4,14,9,11,14,8,8,9,3,12,5,22,8,15,10,4,11,10,22,12,21	834729
2	494,200,131,121,73,92,76,61,42,65,27,31,37,26,43,29,19,38,42,34,22,21,20,17,17,24,20,8,17,24,27,10,11,19,10,13,16,14,9,14,20,23,18,9,20,9,8,15,27,20,15,22,18,14,19,21,18,24,29,30,29	1096207	371,205,131,71,72,48,51,24,29,53,39,25,25,16,28,21,21,16,23,30,16,11,12,12,17,17,8,4,13,10,19,2,16,22,19,6,14,15,12,17,4,11,14,10,8,6,7,7,1,16,5,17,8,13,10,8,8,9,13,22,30	826692
3	534,216,128,101,83,97,67,76,47,75,34,33,35,33,28,35,20,43,39,30,25,19,19,10,27,34,19,11,15,20,29,7,16,14,13,18,13,11,11,8,10,22,16,6,22,20,12,23,20,20,17,24,20,23,9,21,14,26,27,32,44	1117310	380,211,137,83,58,47,48,25,33,35,55,21,46,12,30,23,22,12,13,39,25,8,22,8,15,12,11,6,9,9,24,9,18,15,16,11,11,11,12,13,5,14,13,7,8,11,12,10,3,9,7,19,8,13,11,5,11,5,16,21,29	853073
4	499,235,137,84,80,95,87,74,42,69,30,37,52,33,45,33,13,29,31,25,22,21,14,19,19,30,18,13,16,9,28,11,13,16,12,28,11,16,22,16,11,17,8,3,26,13,11,18,20,16,10,21,23,15,19,15,17,27,17,39,37	1064579	383,162,142,78,83,59,52,32,42,41,47,23,29,14,23,23,24,19,19,21,12,10,13,6,13,9,11,13,17,6,7,7,26,20,16,9,7,12,5,16,0,8,13,10,13,11,13,8,7,12,5,21,9,19,13,7,19,12,14,4,24	814257
5	490,202,148,111,74,81,83,54,39,73,41,31,42,31,45,33,26,43,30,29,25,28,22,19,16,22,15,8,8,17,29,9,16,13,8,15,15,14,15,17,9,20,15,16,13,21,13,14,14,22,20,17,26,15,17,20,14,28,25,35,23	1063315	370,170,142,77,80,52,65,28,31,38,34,24,35,17,27,17,33,12,26,30,16,7,14,8,7,14,5,10,13,13,21,16,8,20,10,7,9,18,17,13,4,15,15,15,10,11,9,8,11,15,13,18,7,15,14,11,11,7,18,17,17	827880
6	491,205,145,117,92,86,77,47,40,89,31,34,48,42,44,32,23,31,32,26,18,23,18,21,24,28,22,9,21,24,27,11,17,20,12,23,11,17,11,16,7,23,8,10,18,29,8,25,21,11,18,25,16,20,12,21,21,24,32,43,23	1058610	445,173,131,84,56,45,53,22,34,41,59,28,32,27,27,35,29,15,22,22,17,9,11,7,11,13,14,11,14,7,23,9,22,21,18,14,9,6,12,12,4,14,12,4,6,8,7,5,7,18,9,23,12,19,12,9,9,12,25,19,38	870791
7	525,243,130,115,84,75,67,62,47,62,31,34,41,38,43,40,20,47,52,36,28,24,15,13,24,29,17,16,20,28,26,7,12,16,6,14,11,15,18,15,10,27,15,9,16,14,16,14,22,18,19,23,24,17,10,17,16,25,21,28,54	1086640	412,182,127,71,68,47,70,28,32,44,48,33,27,14,29,28,32,9,18,31,23,9,17,14,18,9,15,8,19,15,12,13,16,20,18,7,17,11,8,16,4,5,14,14,9,8,8,10,4,18,16,12,10,7,12,13,9,17,11,13,30	837511
8	496,222,120,122,76,102,73,48,54,71,32,31,53,31,47,42,25,55,37,28,25,24,14,19,20,19,22,14,15,28,40,6,16,22,15,18,10,17,24,9,13,18,12,8,15,17,18,19,20,18,14,20,24,20,11,23,24,37,23,33,35	1117093	454,171,138,72,87,50,53,33,43,42,55,27,33,11,28,30,23,9,19,24,14,7,15,12,13,9,12,9,19,6,18,8,12,12,21,7,7,12,11,13,4,12,16,15,8,8,14,10,4,20,12,28,10,17,13,5,9,10,19,20,21	841805
9	503,212,150,109,80,81,66,65,45,60,31,30,34,43,39,35,24,42,33,28,25,24,27,8,22,21,22,9,14,24,27,12,17,15,10,18,21,12,20,9,7,20,11,8,18,15,8,17,29,18,10,28,16,15,9,21,14,28,21,35,39	1087960	422,193,107,80,81,64,49,23,17,42,42,34,32,17,24,23,30,14,18,14,24,5,13,10,21,17,10,10,12,11,12,15,10,12,15,10,10,13,12,18,5,13,11,5,6,9,13,5,5,16,11,19,7,14,12,12,13,11,19,20,25	827612
