bs,region,theta,pi,tajimas_d,n_call
0,cds,0.00023627904731998936,0.00022227430553144078,-0.21299956365382938,46365217
1,cds,0.00023826126391151108,0.00022332154978304823,-0.22532953983574694,46726515
2,cds,0.00023775738920239818,0.00022403941759334322,-0.20734106017904694,47079891
3,cds,0.00023605052176819383,0.0002237502830597896,-0.18725676257459042,46597249
4,cds,0.00023778166905862754,0.0002245787025702972,-0.19953636047309622,46195774
5,cds,0.00023833635409397863,0.000222251225562698,-0.24252860626794012,45820134
6,cds,0.0002383348884740913,0.0002235692006582796,-0.22263587904273574,46403462
7,cds,0.0002354983345465542,0.00022194223573284127,-0.2068596727273019,46725631
8,cds,0.00023816770900672726,0.00022359691991246828,-0.2198513286991176,46129000
9,cds,0.00023598025249053589,0.0002213514865355373,-0.22277195961703908,45912303
10,cds,0.0002380788297298817,0.00022428957026010893,-0.20813690042556418,46172342
11,cds,0.00023882382453694698,0.0002258940161050427,-0.19455564027827468,46780768
12,cds,0.00023739836974898907,0.00022226266129135916,-0.22911535633269595,46722017
13,cds,0.00023764980783259532,0.0002237998784937253,-0.20943026255399777,46950510
14,cds,0.00023836353788320343,0.00022584177722697701,-0.1887794494903636,46472556
15,cds,0.00023728205358709603,0.00022215536173640968,-0.2290910713404288,46612972
16,cds,0.00023766632989262657,0.00022430927410139898,-0.20196319099190455,46615202
17,cds,0.00023764812951612986,0.000225951140324541,-0.17687587567767576,46250608
18,cds,0.00023600264443335555,0.00022262511042350422,-0.20369869229070683,46785707
19,cds,0.0002366564539287934,0.0002229113834729049,-0.20871664416940272,45735810
20,cds,0.00023588354539723277,0.00022212927014655034,-0.2095408357909919,46107494
21,cds,0.00023761815391156214,0.00022311746913240222,-0.21929955431486872,46160780
22,cds,0.0002351449190434377,0.0002192829763590125,-0.24240941888024994,46420127
23,cds,0.00023424494482813678,0.00022029964326844835,-0.2139370779473596,46067500
24,cds,0.000237813062349322,0.0002233422732691667,-0.21866802647452982,46000311
25,cds,0.00023930767662009764,0.0002260040325095522,-0.19977597486059895,46500689
26,cds,0.00023498843627469093,0.00022046743299203563,-0.22206430135238583,46295901
27,cds,0.00023767534106291407,0.00022388507805138282,-0.2085055836129103,46812834
28,cds,0.00023484530432765384,0.00021933280013429853,-0.23737146974077897,46123228
29,cds,0.00023928329017738203,0.00022351214440634158,-0.2368537436791177,46682875
30,cds,0.00023768318656245134,0.00022307802464077603,-0.2208191670316935,46144541
31,cds,0.00023567659330179488,0.00022138269305599275,-0.21795310670133006,46403667
32,cds,0.0002385936600559206,0.00022457385171045525,-0.21116022106087023,46092486
33,cds,0.00023657043822673107,0.0002226797240134859,-0.2110051736991084,46601805
34,cds,0.00023566233052867199,0.00022172545105185785,-0.21252205917643793,46200823
35,cds,0.00023883862128892117,0.00022466598463863859,-0.21324304136928757,45792014
36,cds,0.00023375210272453818,0.0002192277086647317,-0.22329107769262244,46953595
37,cds,0.00023667603811445396,0.00022238136336761433,-0.21704458079179803,46512151
38,cds,0.00023266012624481176,0.00021857224173852627,-0.2175966953256101,46531538
39,cds,0.0002380929267780804,0.00022250786346579064,-0.23522900659165538,45977764
40,cds,0.00023652540344515125,0.00022168964222420512,-0.22540349164818257,45965146
41,cds,0.00023528024160507501,0.00022053497944853122,-0.22521424369214849,46552931
