bs,region,theta,pi,tajimas_d,n_call
0,0fold_enhancers,0.0001729603129562472,0.0001371371070845653,-0.7405198525000131,818301
1,0fold_enhancers,0.0001852169319775688,0.0001519169105389313,-0.6430335425004557,819725
2,0fold_enhancers,0.0001733631796009479,0.0001492917144879761,-0.49636180997662416,792897
3,0fold_enhancers,0.0001720162763824292,0.00013790116807832337,-0.709030857566648,811572
4,0fold_enhancers,0.00017103650385266264,0.00013020853949465518,-0.8534753965356598,828759
5,0fold_enhancers,0.00015844175696362695,0.00012685049480856724,-0.7125991733923529,829672
6,0fold_enhancers,0.00017211896501695856,0.00013068124771581965,-0.8607674123762626,822301
7,0fold_enhancers,0.00017305326370046045,0.00012261293708027706,-1.0420522211984042,807948
8,0fold_enhancers,0.00016634049346994235,0.00012187520139341032,-0.9555113049091443,812191
9,0fold_enhancers,0.0001724720881345777,0.00013098714915799924,-0.860049811471321,833051
10,0fold_enhancers,0.00016107955301129678,0.00012539969343520964,-0.7916807732975477,822742
11,0fold_enhancers,0.0001684791700690519,0.00013219486749616784,-0.7698519923382912,809518
12,0fold_enhancers,0.00017907191267685685,0.00014240523472840657,-0.7322505187646862,826299
13,0fold_enhancers,0.00017080837409298442,0.00014538829283712953,-0.532079250971299,824844
14,0fold_enhancers,0.00018084111536094096,0.0001541017208154197,-0.5288576201197577,845489
15,0fold_enhancers,0.00018116169210257452,0.0001282607874090674,-1.0442762770204739,817951
16,0fold_enhancers,0.00017930083489371685,0.00014450362818377638,-0.6940092162445975,820460
17,0fold_enhancers,0.0001724122941013788,0.00013903314374031468,-0.6921907108206725,820902
18,0fold_enhancers,0.00017006975946505035,0.0001334365488662971,-0.7700614015539559,817078
19,0fold_enhancers,0.0001672514500828478,0.00012254067443205488,-0.9556336377472396,820589
20,0fold_enhancers,0.00017898697141378037,0.00014073392852350907,-0.764232727026609,813512
21,0fold_enhancers,0.00016369416235197587,0.00013620153974455484,-0.6003171355392771,820081
22,0fold_enhancers,0.0001715357980235996,0.00014550305444731247,-0.5426177209230972,828847
23,0fold_enhancers,0.000174703397001488,0.00013894407730077776,-0.731955697713587,839596
24,0fold_enhancers,0.00017489561207004333,0.00013733000069177253,-0.7680723646152996,836221
25,0fold_enhancers,0.00016650052266846662,0.0001266795082275936,-0.8549459024201538,821714
26,0fold_enhancers,0.00017684404152996672,0.00013861986742545488,-0.7728462051722073,810031
27,0fold_enhancers,0.00017913783123444285,0.00013240180900009292,-0.9329291933351488,814024
28,0fold_enhancers,0.00017587502891925597,0.00013911477701056204,-0.7473425280399544,814494
29,0fold_enhancers,0.00016861180299943554,0.00013300131881826332,-0.7550048427104307,817784
30,0fold_enhancers,0.00016969173911170925,0.00013168049456250037,-0.800789385792593,815107
31,0fold_enhancers,0.0001827424350500245,0.0001428038267353748,-0.7816161970666623,819090
32,0fold_enhancers,0.000170154836696526,0.0001314924108971462,-0.8122778900099644,810368
33,0fold_enhancers,0.00017109378852752478,0.000124359747320682,-0.976454009123188,803414
34,0fold_enhancers,0.00016853943546693852,0.00013163545033918284,-0.7827970889157859,824497
35,0fold_enhancers,0.0001656843677513319,0.0001380299457638246,-0.5965229009501363,792110
36,0fold_enhancers,0.00017810637907054642,0.0001366827903696201,-0.8316297193766664,810310
37,0fold_enhancers,0.00016685673359113608,0.00011693474617944187,-1.0695756558636358,827671
38,0fold_enhancers,0.00016785318181936177,0.00013488764287406733,-0.7020455241582275,812537
39,0fold_enhancers,0.00017732314341094247,0.00015997746932347343,-0.3498173592007753,834448
40,0fold_enhancers,0.00016365812598699193,0.00013471785867669555,-0.6320222119376674,809779
41,0fold_enhancers,0.0001614352051626203,0.00011908791973256613,-0.9376080598008261,830228
42,0fold_enhancers,0.00016676223772322214,0.00012821819777463335,-0.8262717399366607,828140
43,0fold_enhancers,0.00016395677072440608,0.00013932591899473303,-0.5369297293393467,808304
44,0fold_enhancers,0.0001743742533372096,0.00013667177881583048,-0.773181124769443,839951
45,0fold_enhancers,0.00016220940661809175,0.00012834052431108224,-0.7461894896442266,802469
46,0fold_enhancers,0.00016572467424053104,0.000139473762323388,-0.5662096519810517,817797
47,0fold_enhancers,0.00017685519598303564,0.00013506120715652917,-0.8449829954827243,812405
48,0fold_enhancers,0.00016856265812151752,0.00013356515620970954,-0.7422728899810352,828200
49,0fold_enhancers,0.00016718410167626335,0.00014421565788063086,-0.49113797402032405,827333
50,0fold_enhancers,0.00017401066285343232,0.0001372678638746232,-0.7549504790579185,814594
